,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-04 00:00:00,6.76,359.0,361.0,-0.8,20.0
2017-10-04 00:01:00,6.705,358.0,360.0,-0.75,20.0
2017-10-04 00:02:00,6.6,359.0,361.0,-0.70000005,20.0
2017-10-04 00:03:00,6.565,358.5,360.5,-0.8,20.0
2017-10-04 00:04:00,6.625,358.0,360.0,-0.7,20.0
2017-10-04 00:05:00,6.7200003,358.0,360.0,-0.65,20.0
2017-10-04 00:06:00,6.67,358.33334,360.33334,-0.6333334,19.666666
2017-10-04 00:07:00,6.785,357.5,359.0,-0.7,19.5
2017-10-04 00:08:00,6.735,358.0,360.0,-0.6,20.0
2017-10-04 00:09:00,6.68,358.0,360.0,-0.7,20.0
2017-10-04 00:10:00,6.775,358.0,360.0,-0.65,20.0
2017-10-04 00:11:00,6.825,358.0,359.5,-0.7,20.0
2017-10-04 00:12:00,6.8450003,358.0,359.5,-0.7,20.0
2017-10-04 00:13:00,6.785,358.0,360.0,-0.75,19.5
2017-10-04 00:14:00,6.87,358.0,359.5,-0.7,20.0
2017-10-04 00:15:00,6.755,357.5,359.0,-0.65,19.5
2017-10-04 00:16:00,6.84,358.0,359.5,-0.7,20.0
2017-10-04 00:17:00,6.855,358.0,359.5,-0.7,19.5
2017-10-04 00:18:00,6.88,358.0,359.5,-0.75,20.0
2017-10-04 00:19:00,6.8050003,358.0,360.0,-0.75,20.0
2017-10-04 00:20:00,6.7299995,361.5,363.0,-0.65,20.0
2017-10-04 00:21:00,6.88,358.5,360.5,-0.6,20.0
2017-10-04 00:22:00,6.735,358.0,359.5,-0.7,20.0
2017-10-04 00:23:00,6.685,357.5,359.5,-0.75,19.5
2017-10-04 00:24:00,6.625,357.5,359.5,-0.85,20.0
2017-10-04 00:25:00,6.66,357.5,359.0,-0.8,20.0
2017-10-04 00:26:00,6.62,358.0,359.5,-0.9,20.0
2017-10-04 00:27:00,6.745,358.5,360.5,-0.75,20.0
2017-10-04 00:28:00,6.705,358.5,360.5,-0.85,20.0
2017-10-04 00:29:00,6.7,359.0,360.5,-0.9,20.0
2017-10-04 00:30:00,6.615,358.0,360.0,-0.95,20.0
2017-10-04 00:31:00,6.865,358.5,360.5,-0.9,20.0
2017-10-04 00:32:00,6.815,358.5,360.5,-0.75,20.0
2017-10-04 00:33:00,6.895,358.0,360.0,-0.8,20.0
2017-10-04 00:34:00,6.875,359.0,360.5,-0.8,20.0
2017-10-04 00:35:00,6.895,358.0,360.0,-0.7,19.5
2017-10-04 00:36:00,6.915,358.5,360.5,-0.8,20.0
2017-10-04 00:37:00,6.855,358.0,360.0,-0.7,19.5
2017-10-04 00:38:00,6.995,358.5,360.5,-0.8,20.0
2017-10-04 00:39:00,6.9700003,357.5,359.5,-0.8,19.5
2017-10-04 00:40:00,7.015,358.0,359.0,-0.8,19.5
2017-10-04 00:41:00,6.975,358.0,359.0,-0.85,19.5
2017-10-04 00:42:00,6.945,358.0,359.5,-0.75,19.5
2017-10-04 00:43:00,6.895,358.0,359.0,-0.85,19.5
2017-10-04 00:44:00,6.885,357.5,359.0,-0.85,19.0
2017-10-04 00:45:00,6.94,357.0,359.0,-0.85,19.5
2017-10-04 00:46:00,6.835,358.0,359.0,-0.75,19.0
2017-10-04 00:47:00,6.84,358.0,359.0,-0.85,18.5
2017-10-04 00:48:00,6.8999996,358.0,359.0,-0.8,19.0
2017-10-04 00:49:00,6.93,357.5,359.0,-0.8,19.0
2017-10-04 00:50:00,6.85,358.0,359.0,-0.8,18.5
2017-10-04 00:51:00,6.88,358.0,359.0,-0.9,19.0
2017-10-04 00:52:00,6.96,357.5,359.0,-0.95,19.0
2017-10-04 00:53:00,6.815,358.0,359.0,-0.9,18.0
2017-10-04 00:54:00,7.055,358.5,359.5,-0.65,18.5
2017-10-04 00:55:00,6.885,358.0,359.5,-0.85,18.5
2017-10-04 00:56:00,6.955,358.0,359.5,-0.85,18.5
2017-10-04 00:57:00,7.115,358.0,359.0,-0.8,19.0
2017-10-04 00:58:00,6.96,358.0,359.0,-0.9,19.0
2017-10-04 00:59:00,6.975,358.0,359.0,-0.9,19.0
2017-10-04 01:00:00,6.925,358.0,359.0,-0.9,19.0
2017-10-04 01:01:00,7.0299997,358.0,359.0,-0.8,18.5
2017-10-04 01:02:00,6.955,357.5,359.0,-0.85,19.0
2017-10-04 01:03:00,6.885,357.0,359.0,-0.7,19.0
2017-10-04 01:04:00,7.05,357.5,358.5,-0.8,18.5
2017-10-04 01:05:00,7.0950003,358.0,358.5,-0.8,17.0
2017-10-04 01:06:00,7.08,357.5,358.0,-0.8,18.5
2017-10-04 01:07:00,7.11,357.5,359.0,-0.85,18.0
2017-10-04 01:08:00,7.145,357.5,358.5,-0.8,17.5
2017-10-04 01:09:00,6.965,357.0,358.0,-0.85,19.0
2017-10-04 01:10:00,6.735,357.5,358.5,-0.9,19.0
2017-10-04 01:11:00,6.85,357.5,358.5,-0.9,18.5
2017-10-04 01:12:00,6.705,357.0,359.0,-1.0,18.5
2017-10-04 01:13:00,6.645,357.0,358.5,-0.85,19.0
2017-10-04 01:14:00,6.65,358.0,360.0,-1.0,20.0
2017-10-04 01:15:00,6.895,359.0,360.5,-0.6,20.0
2017-10-04 01:16:00,6.785,358.0,360.0,-0.75,20.0
2017-10-04 01:17:00,6.755,357.5,359.5,-0.7,19.5
2017-10-04 01:18:00,6.7799997,359.5,361.5,-0.75,20.0
2017-10-04 01:19:00,6.5550003,358.0,359.5,-1.0,19.5
2017-10-04 01:20:00,6.685,358.0,359.5,-0.9,20.0
2017-10-04 01:21:00,6.64,357.5,359.5,-0.85,20.0
2017-10-04 01:22:00,6.6000004,357.5,359.5,-0.95,19.5
2017-10-04 01:23:00,6.6549997,357.5,359.5,-1.05,19.5
2017-10-04 01:24:00,6.7250004,358.0,360.0,-1.1,20.0
2017-10-04 01:25:00,6.63,358.0,359.0,-1.05,19.5
2017-10-04 01:26:00,6.71,357.0,359.0,-1.0,19.0
2017-10-04 01:27:00,6.7,359.5,361.0,-1.1,20.0
2017-10-04 01:28:00,6.39,364.0,366.0,-1.1500001,20.0
2017-10-04 01:29:00,6.3900003,365.0,367.0,-1.1,20.0
2017-10-04 01:30:00,6.45,362.0,364.0,-1.05,20.0
2017-10-04 01:31:00,6.425,362.5,364.5,-1.0,20.0
2017-10-04 01:32:00,6.5299997,363.0,365.0,-1.0,20.0
2017-10-04 01:33:00,6.355,361.0,363.0,-1.0,20.0
2017-10-04 01:34:00,6.3599997,359.5,361.0,-1.05,20.0
2017-10-04 01:35:00,6.44,361.5,363.5,-0.79999995,20.0
2017-10-04 01:36:00,6.65,362.0,364.0,-0.95,20.0
2017-10-04 01:37:00,6.45,360.5,362.0,-0.85,20.0
2017-10-04 01:38:00,6.4700003,361.5,363.5,-1.0,20.0
