,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-11 00:00:00,10.42,361.5,363.0,-1.6,20.0
2017-10-11 00:01:00,10.475,360.5,362.0,-1.3,20.0
2017-10-11 00:02:00,10.17,360.0,361.5,-1.1,20.0
2017-10-11 00:03:00,10.735001,361.0,362.0,-1.5,20.0
2017-10-11 00:04:00,10.905,363.0,365.0,-1.6,20.0
2017-10-11 00:05:00,11.13,364.0,365.0,-1.95,20.0
2017-10-11 00:06:00,11.33,364.5,365.5,-1.9,20.0
2017-10-11 00:07:00,11.075001,362.5,363.5,-2.0,20.0
2017-10-11 00:08:00,10.815001,363.5,365.0,-1.7,20.0
2017-10-11 00:09:00,10.690001,362.5,364.0,-1.8499999,20.0
2017-10-11 00:10:00,11.005,361.0,362.5,-2.05,20.0
2017-10-11 00:11:00,11.17,362.5,364.0,-2.1,20.0
2017-10-11 00:12:00,11.02,367.0,368.5,-1.9,20.0
2017-10-11 00:13:00,10.96,372.5,375.0,-2.0,21.5
2017-10-11 00:14:00,13.165,382.0,385.0,2.5,24.5
2017-10-11 00:15:00,12.895,379.5,382.0,1.85,23.0
2017-10-11 00:16:00,11.285,374.0,376.5,0.75,22.0
2017-10-11 00:17:00,11.62,373.5,376.0,0.9,22.0
2017-10-11 00:18:00,13.285,376.5,379.0,2.0,22.0
2017-10-11 00:19:00,12.495,379.5,384.0,2.2,26.0
2017-10-11 00:20:00,11.245001,374.0,377.5,1.1,24.5
2017-10-11 00:21:00,10.78,371.0,374.5,0.7,23.0
2017-10-11 00:22:00,10.975,372.5,376.0,1.0500001,23.5
2017-10-11 00:23:00,11.594999,378.0,381.0,2.4,23.5
2017-10-11 00:24:00,10.55,371.0,375.0,1.05,24.0
2017-10-11 00:25:00,11.83,372.0,374.0,1.8499999,22.5
2017-10-11 00:26:00,11.66,373.5,376.5,1.95,23.5
2017-10-11 00:27:00,11.215,373.0,376.5,0.8,23.0
2017-10-11 00:28:00,10.505,371.5,375.0,0.95000005,24.0
2017-10-11 00:29:00,10.684999,371.5,375.0,1.0,24.0
2017-10-11 00:30:00,10.834999,373.0,377.5,0.9,25.0
2017-10-11 00:31:00,10.26,375.0,379.5,0.6,25.5
2017-10-11 00:32:00,10.62,371.0,374.0,0.6,23.0
2017-10-11 00:33:00,10.5,372.0,375.0,0.1,23.0
2017-10-11 00:34:00,10.646667,371.0,374.33334,0.46666667,23.0
2017-10-11 00:35:00,10.745,370.0,373.0,0.25,23.0
2017-10-11 00:36:00,10.74,370.0,373.0,0.35000002,23.0
