,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-07 00:00:00,7.8450003,392.5,399.5,3.1,28.0
2017-10-07 00:01:00,8.15,394.5,401.5,3.1999998,28.5
2017-10-07 00:02:00,8.200001,394.5,401.0,3.3000002,28.5
2017-10-07 00:03:00,7.98,393.5,400.5,2.65,28.5
2017-10-07 00:04:00,7.955,392.5,399.0,2.75,28.0
2017-10-07 00:05:00,6.31,398.0,409.5,2.05,34.0
2017-10-07 00:06:00,5.59,393.5,406.0,0.95,34.0
2017-10-07 00:07:00,5.525,394.5,407.0,0.95000005,35.0
2017-10-07 00:08:00,5.895,394.5,406.0,1.0,34.0
2017-10-07 00:09:00,5.785,394.0,406.5,0.85,35.0
2017-10-07 00:10:00,5.7,394.5,406.5,0.9,34.5
2017-10-07 00:11:00,5.795,393.5,405.0,0.9,34.0
2017-10-07 00:12:00,5.585,396.5,409.5,-0.3,35.5
2017-10-07 00:13:00,5.6400003,398.0,411.0,-0.45000002,36.0
2017-10-07 00:14:00,5.45,398.0,412.5,-0.4,36.5
2017-10-07 00:15:00,5.5,397.5,411.0,-0.35000002,36.0
2017-10-07 00:16:00,5.815,396.5,409.0,0.05,35.5
2017-10-07 00:17:00,6.005,395.5,408.0,0.10000001,35.5
2017-10-07 00:18:00,5.71,397.0,410.0,0.1,36.0
2017-10-07 00:19:00,6.01,394.0,405.5,0.29999998,34.0
2017-10-07 00:20:00,5.815,396.5,409.5,0.05,35.0
2017-10-07 00:21:00,5.615,397.0,411.0,-0.2,36.5
2017-10-07 00:22:00,5.9449997,392.5,404.5,0.1,34.5
2017-10-07 00:23:00,6.925,387.0,395.0,0.65,30.0
2017-10-07 00:24:00,6.7,387.0,395.0,0.6,30.0
2017-10-07 00:25:00,6.65,387.5,396.0,0.5,30.5
2017-10-07 00:26:00,6.6499996,390.0,399.0,0.4,32.0
2017-10-07 00:27:00,3.24,420.5,436.0,1.6,37.0
2017-10-07 00:28:00,3.7350001,412.0,428.5,1.6,39.0
2017-10-07 00:29:00,4.0,409.5,426.5,2.05,39.0
2017-10-07 00:30:00,4.3100004,406.5,423.0,1.65,39.0
2017-10-07 00:31:00,4.4750004,404.0,420.0,1.9,39.0
2017-10-07 00:32:00,4.105,407.5,424.5,2.1,39.5
2017-10-07 00:33:00,4.33,405.5,421.0,2.05,38.5
2017-10-07 00:34:00,5.185,398.5,413.0,2.7,37.5
2017-10-07 00:35:00,3.715,412.5,430.0,3.0500002,39.5
2017-10-07 00:36:00,3.395,416.5,433.5,2.65,39.5
2017-10-07 00:37:00,2.67,428.5,445.0,2.55,38.0
2017-10-07 00:38:00,3.395,414.0,430.0,2.2,38.0
2017-10-07 00:39:00,3.5149999,414.5,430.5,2.65,38.5
2017-10-07 00:40:00,3.165,419.0,436.0,2.5,39.0
2017-10-07 00:41:00,3.145,426.0,440.0,2.75,35.5
2017-10-07 00:42:00,2.53,435.5,451.5,2.05,37.5
2017-10-07 00:43:00,2.705,426.0,442.5,2.5,38.5
2017-10-07 00:44:00,2.62,428.0,445.5,2.35,39.0
2017-10-07 00:45:00,2.3899999,429.5,448.0,2.25,40.5
2017-10-07 00:46:00,2.375,432.5,449.5,2.4,38.5
2017-10-07 00:47:00,2.3200002,437.0,454.5,2.35,39.5
2017-10-07 00:48:00,2.26,427.5,445.5,2.05,39.5
2017-10-07 00:49:00,2.835,423.0,440.0,2.15,39.0
2017-10-07 00:50:00,3.0700002,418.0,436.0,2.15,40.0
2017-10-07 00:51:00,3.26,416.0,433.5,2.45,39.5
2017-10-07 00:52:00,3.0500002,427.5,443.0,2.2,37.5
2017-10-07 00:53:00,3.805,412.5,429.0,2.05,38.5
2017-10-07 00:54:00,3.02,423.0,438.5,1.8499999,37.0
2017-10-07 00:55:00,4.015,411.0,425.5,1.85,37.0
2017-10-07 00:56:00,6.335,394.5,404.0,0.35,31.5
2017-10-07 00:57:00,6.45,394.0,403.5,1.05,32.0
2017-10-07 00:58:00,6.23,396.5,407.5,1.75,33.0
2017-10-07 00:59:00,6.815,395.0,404.5,2.55,32.0
2017-10-07 01:00:00,7.4849997,393.0,400.5,1.85,29.5
2017-10-07 01:01:00,5.46,396.5,409.5,0.10000001,36.0
2017-10-07 01:02:00,6.245,394.5,404.5,0.55,32.0
2017-10-07 01:03:00,6.04,393.5,403.5,0.3,32.5
2017-10-07 01:04:00,5.34,395.5,409.0,0.15,35.5
2017-10-07 01:05:00,5.835,396.5,408.0,-0.9,34.5
2017-10-07 01:06:00,6.0699997,395.0,404.5,-0.29999998,32.0
2017-10-07 01:07:00,6.0299997,394.5,405.0,0.65000004,33.0
2017-10-07 01:08:00,6.105,395.0,405.5,2.1,33.0
2017-10-07 01:09:00,6.0750003,402.0,414.0,3.35,34.0
2017-10-07 01:10:00,9.775,402.5,409.5,4.95,29.5
2017-10-07 01:11:00,4.55,404.0,418.5,2.8,37.5
2017-10-07 01:12:00,2.7749999,422.0,440.0,2.45,39.5
2017-10-07 01:13:00,3.22,414.5,429.0,3.0,36.5
2017-10-07 01:14:00,2.4850001,426.0,441.0,2.4,37.0
2017-10-07 01:15:00,3.355,411.5,425.5,2.4,35.5
2017-10-07 01:16:00,2.21,437.5,451.5,2.35,35.0
2017-10-07 01:17:00,1.9,444.5,461.0,2.1999998,38.0
2017-10-07 01:18:00,2.0149999,442.5,459.5,1.75,38.0
2017-10-07 01:19:00,1.87,443.0,462.0,2.35,40.5
2017-10-07 01:20:00,2.115,431.0,449.0,2.5,40.0
2017-10-07 01:21:00,2.185,434.5,451.5,1.85,39.0
2017-10-07 01:22:00,2.04,436.5,455.5,2.05,40.5
2017-10-07 01:23:00,1.875,435.5,455.5,2.15,41.5
2017-10-07 01:24:00,1.8399999,435.0,454.5,2.25,41.5
2017-10-07 01:25:00,2.045,436.5,454.0,2.1,39.5
2017-10-07 01:26:00,2.415,429.5,446.5,1.95,39.0
2017-10-07 01:27:00,2.385,433.0,449.5,1.7,38.5
2017-10-07 01:28:00,2.29,439.0,456.0,2.1,39.0
2017-10-07 01:29:00,2.28,439.0,456.0,2.25,38.5
2017-10-07 01:30:00,2.3600001,438.0,454.0,2.0,38.5
2017-10-07 01:31:00,2.545,439.5,454.5,2.55,37.0
2017-10-07 01:32:00,2.8899999,459.5,476.0,3.5,38.5
2017-10-07 01:33:00,2.6799998,425.0,443.5,1.8,40.0
2017-10-07 01:34:00,2.565,424.5,440.5,1.8,37.5
2017-10-07 01:35:00,2.7849998,425.0,440.5,1.95,38.5
2017-10-07 01:36:00,3.7649999,406.0,422.5,0.75,38.5
2017-10-07 01:37:00,3.065,413.5,431.5,1.45,39.5
2017-10-07 01:38:00,2.9,414.5,432.5,1.8,40.0
2017-10-07 01:39:00,2.105,433.0,450.5,1.85,39.0
2017-10-07 01:40:00,1.98,440.5,461.0,2.05,41.5
2017-10-07 01:41:00,2.1799998,427.5,446.5,1.8,40.5
2017-10-07 01:42:00,2.92,411.5,428.0,1.6500001,39.5
2017-10-07 01:43:00,3.805,401.0,416.5,1.7,37.5
2017-10-07 01:44:00,3.455,407.5,425.0,1.55,40.0
2017-10-07 01:45:00,2.895,412.5,431.5,1.9,40.5
2017-10-07 01:46:00,3.025,414.0,432.0,2.05,40.0
2017-10-07 01:47:00,4.17,402.0,417.5,1.9,38.0
2017-10-07 01:48:00,3.9950001,402.0,419.0,1.9,39.0
2017-10-07 01:49:00,4.3199997,398.5,411.5,3.1999998,36.0
2017-10-07 01:50:00,4.87,395.5,408.0,3.35,34.5
2017-10-07 01:51:00,4.145,403.0,417.5,2.9,36.5
2017-10-07 01:52:00,3.67,405.0,422.0,2.15,38.5
2017-10-07 01:53:00,3.6399999,405.5,422.0,1.95,39.0
2017-10-07 01:54:00,3.5149999,407.0,423.5,1.9,39.0
2017-10-07 01:55:00,4.075,400.5,416.0,2.05,37.5
2017-10-07 01:56:00,3.5900002,405.5,422.5,1.9,39.0
2017-10-07 01:57:00,3.645,405.0,421.5,1.8499999,39.0
2017-10-07 01:58:00,4.2200003,399.5,414.5,3.15,37.5
2017-10-07 01:59:00,4.7700005,396.0,409.0,2.25,35.5
2017-10-07 02:00:00,5.23,391.0,402.0,2.75,33.5
2017-10-07 02:01:00,5.005,391.0,401.5,2.45,33.0
2017-10-07 02:02:00,4.91,391.5,402.0,2.4499998,33.0
2017-10-07 02:03:00,5.66,385.0,392.5,2.25,27.5
2017-10-07 02:04:00,5.7349997,385.5,392.5,2.1,29.0
2017-10-07 02:05:00,6.1,385.0,390.5,1.65,26.0
2017-10-07 02:06:00,5.82,384.5,390.5,1.95,26.5
2017-10-07 02:07:00,6.205,384.5,390.0,1.9499999,25.5
2017-10-07 02:08:00,7.125,387.5,392.5,2.25,26.0
2017-10-07 02:09:00,7.5,390.0,395.5,1.9,26.0
2017-10-07 02:10:00,7.21,389.5,395.0,2.0,26.0
2017-10-07 02:11:00,7.415,388.5,393.5,2.05,25.5
2017-10-07 02:12:00,7.49,389.0,394.0,2.15,25.5
2017-10-07 02:13:00,7.315,389.5,395.0,1.95,26.5
2017-10-07 02:14:00,7.22,388.5,393.5,2.0,25.0
2017-10-07 02:15:00,7.025,387.0,392.0,1.8,25.0
2017-10-07 02:16:00,7.13,386.0,390.5,1.8499999,24.5
2017-10-07 02:17:00,7.285,387.0,391.0,2.2,24.5
2017-10-07 02:18:00,7.65,389.0,393.5,2.1999998,25.0
2017-10-07 02:19:00,7.825,389.5,394.5,2.45,25.0
2017-10-07 02:20:00,7.84,391.5,397.5,1.95,27.0
2017-10-07 02:21:00,7.3999996,386.5,390.5,1.8499999,24.5
2017-10-07 02:22:00,7.71,387.5,392.0,2.5,24.5
2017-10-07 02:23:00,7.49,387.0,391.5,2.1999998,25.0
2017-10-07 02:24:00,7.0699997,387.5,392.0,2.45,25.0
2017-10-07 02:25:00,6.975,387.0,392.0,1.9499999,25.0
2017-10-07 02:26:00,7.515,386.0,390.5,1.9499999,25.0
2017-10-07 02:27:00,8.095,387.5,392.0,3.0,24.5
2017-10-07 02:28:00,6.54,387.5,394.5,1.1,27.5
2017-10-07 02:29:00,5.165,384.0,392.0,0.4,29.5
2017-10-07 02:30:00,5.5,384.0,392.0,0.1,29.0
2017-10-07 02:31:00,5.205,386.0,396.0,0.050000004,31.5
2017-10-07 02:32:00,5.34,385.0,393.5,-0.15,30.5
2017-10-07 02:33:00,5.38,382.0,390.0,-0.05,28.5
2017-10-07 02:34:00,5.415,383.0,390.0,-0.15,28.0
2017-10-07 02:35:00,5.585,384.0,391.0,-0.1,28.5
2017-10-07 02:36:00,6.215,383.5,389.5,0.8,26.0
2017-10-07 02:37:00,5.87,384.0,390.5,0.35,27.5
2017-10-07 02:38:00,6.1800003,384.0,389.0,0.95,25.0
2017-10-07 02:39:00,6.62,382.0,386.5,1.4,24.5
2017-10-07 02:40:00,6.1400003,383.5,388.5,0.95,25.5
2017-10-07 02:41:00,5.675,384.0,391.0,0.45000002,28.5
2017-10-07 02:42:00,5.865,383.0,389.0,0.45,26.5
2017-10-07 02:43:00,5.9449997,383.0,388.5,0.65,26.0
2017-10-07 02:44:00,5.8900003,382.5,388.0,0.55,25.5
2017-10-07 02:45:00,7.11,385.0,390.0,1.4,25.5
2017-10-07 02:46:00,3.7849998,412.5,427.0,1.3,37.0
2017-10-07 02:47:00,5.4449997,389.0,399.5,-0.3,32.5
2017-10-07 02:48:00,4.84,395.0,408.0,0.10000001,35.5
2017-10-07 02:49:00,5.955,392.5,402.5,2.35,31.0
2017-10-07 02:50:00,6.665,385.0,389.5,1.8,26.0
2017-10-07 02:51:00,7.81,387.0,391.5,2.5500002,25.0
2017-10-07 02:52:00,7.7200003,385.5,389.5,2.05,24.5
2017-10-07 02:53:00,7.29,383.0,387.5,1.8499999,24.0
2017-10-07 02:54:00,6.9750004,382.0,386.5,1.4,24.0
2017-10-07 02:55:00,6.675,382.5,387.0,1.5,24.5
2017-10-07 02:56:00,6.37,381.5,386.0,1.3,25.0
2017-10-07 02:57:00,6.06,382.0,387.5,0.70000005,26.5
2017-10-07 02:58:00,6.875,384.0,389.0,1.8,25.0
2017-10-07 02:59:00,5.665,385.0,393.0,0.9,29.5
2017-10-07 03:00:00,5.4300003,388.0,397.5,1.15,31.5
