,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-13 00:00:00,4.19,501.5,516.5,-3.25,37.5
2017-10-13 00:01:00,4.1800003,483.0,498.0,-2.25,37.0
2017-10-13 00:02:00,3.85,499.5,515.5,-3.25,38.5
2017-10-13 00:03:00,3.685,496.0,512.0,-3.1,39.0
2017-10-13 00:04:00,4.085,496.0,510.0,-3.2,36.5
2017-10-13 00:05:00,3.8899999,499.5,515.0,-3.0500002,37.5
2017-10-13 00:06:00,4.27,479.0,493.5,-2.2,37.0
2017-10-13 00:07:00,4.3,481.5,496.0,-2.4,36.5
2017-10-13 00:08:00,4.375,478.0,491.5,-2.3,36.0
2017-10-13 00:09:00,4.455,477.5,491.0,-2.0,36.0
2017-10-13 00:10:00,4.9300003,467.0,478.0,-1.2,32.5
2017-10-13 00:11:00,5.01,465.0,475.0,-0.75,32.0
2017-10-13 00:12:00,4.855,466.5,477.0,-1.1,32.5
2017-10-13 00:13:00,4.955,466.0,476.0,-1.3,32.0
2017-10-13 00:14:00,4.8450003,467.0,477.0,-1.4,32.5
2017-10-13 00:15:00,4.635,469.5,481.0,-1.4000001,33.0
2017-10-13 00:16:00,4.6000004,475.0,487.0,-2.0,34.0
2017-10-13 00:17:00,4.66,472.5,484.5,-2.0,33.5
2017-10-13 00:18:00,4.72,472.5,484.0,-1.9,33.0
2017-10-13 00:19:00,4.35,475.5,488.0,-2.1,35.5
2017-10-13 00:20:00,4.76,472.5,483.5,-1.85,33.0
2017-10-13 00:21:00,4.77,474.0,485.5,-2.0,34.0
2017-10-13 00:22:00,5.13,468.0,478.0,-1.6,32.0
2017-10-13 00:23:00,5.245,469.0,479.5,-1.5,33.0
2017-10-13 00:24:00,5.26,469.5,480.5,-1.65,32.5
2017-10-13 00:25:00,5.3050003,471.5,482.5,-2.25,33.5
2017-10-13 00:26:00,5.41,471.5,484.5,-2.1,35.5
2017-10-13 00:27:00,5.22,468.5,482.5,-2.25,37.0
2017-10-13 00:28:00,5.26,469.5,483.0,-2.45,36.0
