,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-15 00:00:00,4.165,578.5,593.0,0.5,37.0
2017-10-15 00:01:00,4.12,581.0,596.5,0.70000005,38.5
2017-10-15 00:02:00,4.48,578.0,593.5,0.70000005,37.5
2017-10-15 00:03:00,4.285,578.0,592.5,0.75,37.0
2017-10-15 00:04:00,4.13,579.0,593.5,0.85,37.0
2017-10-15 00:05:00,4.33,578.5,593.0,1.2,37.5
2017-10-15 00:06:00,4.2650003,577.5,591.5,0.95,37.0
2017-10-15 00:07:00,4.5649996,579.0,594.5,0.6,38.0
2017-10-15 00:08:00,4.62,578.5,594.5,0.6,38.0
2017-10-15 00:09:00,4.285,576.5,590.0,-0.35,36.0
2017-10-15 00:10:00,4.0950003,576.0,589.0,-0.75,35.5
2017-10-15 00:11:00,3.905,577.0,590.5,-0.75,36.0
2017-10-15 00:12:00,4.025,576.5,590.5,-1.1,36.5
2017-10-15 00:13:00,3.85,578.5,593.5,-1.2,37.0
2017-10-15 00:14:00,3.8850002,577.5,591.5,-0.25,37.0
2017-10-15 00:15:00,4.08,576.5,591.5,-0.24999997,37.0
2017-10-15 00:16:00,4.38,575.5,590.0,0.70000005,37.0
2017-10-15 00:17:00,4.36,578.0,592.5,0.3,37.5
2017-10-15 00:18:00,3.98,578.0,592.5,0.0,36.5
2017-10-15 00:19:00,4.065,577.0,591.5,-0.45000002,37.5
2017-10-15 00:20:00,4.38,575.0,589.5,-0.85,36.5
2017-10-15 00:21:00,4.18,575.5,589.5,-1.65,36.0
2017-10-15 00:22:00,3.88,594.5,617.0,-0.14999998,43.5
2017-10-15 00:23:00,3.7150002,596.5,620.0,-0.25000003,45.0
2017-10-15 00:24:00,4.375,580.0,597.5,-0.7,40.0
2017-10-15 00:25:00,4.2200003,584.0,604.0,-0.75,42.5
2017-10-15 00:26:00,4.325,591.5,613.5,-0.5,44.0
2017-10-15 00:27:00,3.045,609.5,636.5,1.8,48.0
2017-10-15 00:28:00,3.925,588.0,607.5,-1.5999999,41.5
2017-10-15 00:29:00,4.0950003,579.0,595.5,-1.1,39.0
2017-10-15 00:30:00,3.795,585.5,604.5,0.3,41.5
2017-10-15 00:31:00,3.03,606.0,632.5,0.65,47.5
2017-10-15 00:32:00,4.04,582.5,600.0,0.55,40.0
2017-10-15 00:33:00,3.665,589.0,609.0,0.85,42.0
2017-10-15 00:34:00,2.74,605.0,631.5,1.05,47.0
2017-10-15 00:35:00,3.055,600.0,625.5,1.15,47.0
2017-10-15 00:36:00,2.75,610.0,639.0,1.2,49.5
2017-10-15 00:37:00,2.975,604.0,629.0,1.25,46.5
2017-10-15 00:38:00,3.04,603.0,629.0,1.25,47.5
2017-10-15 00:39:00,2.995,609.0,639.0,1.05,50.0
2017-10-15 00:40:00,3.115,598.5,622.5,1.3,45.5
2017-10-15 00:41:00,2.865,618.5,650.5,1.3,52.0
2017-10-15 00:42:00,3.995,607.0,636.0,-0.6,49.5
2017-10-15 00:43:00,4.19,581.0,598.0,-1.2,39.5
2017-10-15 00:44:00,3.5349998,587.5,607.0,1.0,42.0
2017-10-15 00:45:00,3.9099998,581.5,599.5,0.75,40.0
2017-10-15 00:46:00,4.135,575.5,589.0,-0.79999995,36.0
2017-10-15 00:47:00,3.955,577.0,592.0,-0.25,37.0
2017-10-15 00:48:00,4.1,578.5,594.0,-1.0,38.0
2017-10-15 00:49:00,4.215,580.0,595.5,-1.15,38.0
2017-10-15 00:50:00,4.16,581.0,599.0,0.75,40.0
2017-10-15 00:51:00,4.25,578.0,594.0,0.6,38.0
2017-10-15 00:52:00,4.12,579.5,595.5,0.70000005,38.5
2017-10-15 00:53:00,3.52,593.0,614.0,1.25,43.0
2017-10-15 00:54:00,3.17,602.0,627.0,1.1,46.5
2017-10-15 00:55:00,3.565,591.5,613.0,0.35,43.5
2017-10-15 00:56:00,2.585,619.5,653.0,-0.19999999,52.5
2017-10-15 00:57:00,2.255,640.0,675.5,0.65,54.5
2017-10-15 00:58:00,2.13,629.0,664.0,0.70000005,54.0
2017-10-15 00:59:00,1.76,632.0,668.5,1.2,54.5
2017-10-15 01:00:00,1.9100001,636.0,672.0,0.85,54.0
2017-10-15 01:01:00,3.42,609.5,640.0,0.049999982,50.5
2017-10-15 01:02:00,2.955,612.5,644.0,0.9,51.0
2017-10-15 01:03:00,3.34,607.5,635.0,0.55,48.5
2017-10-15 01:04:00,3.7649999,595.0,618.0,-0.3,45.0
2017-10-15 01:05:00,3.815,593.5,616.0,-0.2,45.0
