,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-12 00:00:00,7.475,528.5,551.5,-2.8,45.5
2017-10-12 00:01:00,6.88,523.0,545.5,-2.25,46.0
2017-10-12 00:02:00,8.27,526.0,548.0,-3.0,45.0
2017-10-12 00:03:00,8.99,523.0,545.0,-3.6999998,45.0
2017-10-12 00:04:00,8.885,520.5,543.0,-3.4,45.5
2017-10-12 00:05:00,8.639999,521.0,544.0,-2.8,45.5
2017-10-12 00:06:00,7.845,525.5,548.5,-0.95000005,45.5
2017-10-12 00:07:00,7.775,526.5,549.0,-1.25,45.0
2017-10-12 00:08:00,6.17,508.5,533.0,-1.05,46.5
2017-10-12 00:09:00,7.27,504.0,525.5,-0.75,44.5
2017-10-12 00:10:00,7.6,518.0,541.0,-1.95,46.0
2017-10-12 00:11:00,7.9100003,520.0,542.0,-2.1000001,45.0
2017-10-12 00:12:00,8.03,518.0,541.0,0.15,46.0
2017-10-12 00:13:00,7.775,520.5,543.0,0.70000005,45.0
2017-10-12 00:14:00,7.75,523.5,546.5,0.75,45.5
2017-10-12 00:15:00,7.57,528.0,550.5,1.1500001,44.5
2017-10-12 00:16:00,7.65,514.0,536.5,1.0,45.0
2017-10-12 00:17:00,8.190001,511.0,533.0,0.75,45.0
2017-10-12 00:18:00,6.835,521.5,544.5,1.1,45.5
2017-10-12 00:19:00,7.41,525.5,548.0,1.95,45.5
2017-10-12 00:20:00,7.745,526.0,547.5,1.65,44.5
2017-10-12 00:21:00,7.605,522.5,545.0,1.8,45.0
2017-10-12 00:22:00,7.46,515.0,537.5,1.4000001,45.0
2017-10-12 00:23:00,7.4849997,516.5,538.5,1.6,45.0
2017-10-12 00:24:00,6.5,516.0,539.0,1.85,45.5
2017-10-12 00:25:00,5.085,538.5,568.0,0.75,50.0
2017-10-12 00:26:00,8.02,519.0,541.5,1.25,45.5
2017-10-12 00:27:00,7.81,517.0,539.0,1.45,45.0
2017-10-12 00:28:00,7.63,513.5,535.5,1.35,45.0
2017-10-12 00:29:00,6.885,522.5,543.5,1.25,44.0
2017-10-12 00:30:00,6.25,526.0,547.0,1.35,43.5
2017-10-12 00:31:00,7.51,518.0,541.0,0.4,45.5
2017-10-12 00:32:00,7.8100004,510.5,533.0,-1.7,45.5
2017-10-12 00:33:00,7.27,504.5,526.5,-1.1,44.5
