,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-09 00:00:00,3.47,383.0,390.0,-1.5,27.5
2017-10-09 00:01:00,3.365,385.5,393.5,-1.3499999,29.0
2017-10-09 00:02:00,3.5500002,384.0,392.0,-1.55,28.5
2017-10-09 00:03:00,3.73,383.5,389.5,-1.75,26.0
2017-10-09 00:04:00,3.97,382.0,389.0,-1.95,27.0
2017-10-09 00:05:00,3.99,382.0,389.0,-1.9,27.0
2017-10-09 00:06:00,3.88,380.5,386.5,-2.25,26.0
2017-10-09 00:07:00,3.9750001,380.0,385.0,-2.45,24.5
2017-10-09 00:08:00,4.2,379.0,384.0,-2.9,24.5
2017-10-09 00:09:00,4.055,379.0,384.0,-2.35,25.0
2017-10-09 00:10:00,4.37,374.5,378.5,-2.6,23.0
2017-10-09 00:11:00,3.585,384.5,393.0,-1.3,28.5
2017-10-09 00:12:00,3.355,384.5,393.5,-1.45,29.5
2017-10-09 00:13:00,3.145,395.5,409.5,-1.45,35.5
2017-10-09 00:14:00,3.06,393.0,405.5,-1.5999999,34.0
2017-10-09 00:15:00,3.05,384.5,391.0,-1.1500001,27.0
2017-10-09 00:16:00,3.085,382.5,389.0,-1.2,26.5
2017-10-09 00:17:00,3.675,378.5,383.5,-1.55,24.0
2017-10-09 00:18:00,3.635,382.5,389.0,-1.55,26.0
2017-10-09 00:19:00,3.635,383.5,390.5,-1.7,26.5
2017-10-09 00:20:00,4.03,381.5,388.0,-2.8,26.0
2017-10-09 00:21:00,3.4,382.0,388.0,-1.25,26.0
2017-10-09 00:22:00,3.225,382.5,389.0,-1.2,26.0
2017-10-09 00:23:00,3.47,378.5,384.0,-1.2,24.0
2017-10-09 00:24:00,3.355,383.0,389.0,-1.25,25.5
2017-10-09 00:25:00,3.4650002,383.5,390.5,-1.45,28.0
2017-10-09 00:26:00,3.56,384.0,392.0,-1.2,28.0
2017-10-09 00:27:00,3.585,382.5,390.5,-1.4,28.5
2017-10-09 00:28:00,3.345,387.5,397.0,-1.4,31.0
2017-10-09 00:29:00,3.4850001,385.5,394.5,-1.55,30.5
2017-10-09 00:30:00,3.795,384.5,393.5,-1.6,31.0
2017-10-09 00:31:00,3.655,386.0,395.5,-1.6,31.0
2017-10-09 00:32:00,3.71,386.0,396.0,-1.5,31.0
2017-10-09 00:33:00,3.665,387.0,398.0,-1.4,33.0
2017-10-09 00:34:00,3.59,390.5,403.0,-1.6,34.5
2017-10-09 00:35:00,3.74,384.5,392.5,-2.25,29.0
2017-10-09 00:36:00,3.73,386.5,396.5,-1.75,31.5
2017-10-09 00:37:00,3.525,389.5,400.0,-1.9,32.0
2017-10-09 00:38:00,3.78,384.0,392.0,-1.9,29.0
2017-10-09 00:39:00,3.74,383.5,392.0,-2.0,30.0
2017-10-09 00:40:00,3.8,383.5,392.5,-2.0,29.5
2017-10-09 00:41:00,3.905,383.0,390.0,-2.15,27.5
2017-10-09 00:42:00,3.815,383.0,390.0,-2.7,27.5
2017-10-09 00:43:00,3.71,383.5,391.5,-2.85,28.5
2017-10-09 00:44:00,3.95,381.5,387.0,-2.15,25.5
2017-10-09 00:45:00,3.8249998,381.5,387.0,-1.7,25.5
2017-10-09 00:46:00,3.825,381.5,387.0,-2.0,25.5
2017-10-09 00:47:00,3.875,382.0,388.5,-2.0500002,26.5
2017-10-09 00:48:00,3.4099998,392.5,404.5,-2.1,34.5
2017-10-09 00:49:00,3.685,382.0,389.0,-2.3000002,27.5
2017-10-09 00:50:00,3.72,382.5,389.5,-2.25,27.5
2017-10-09 00:51:00,3.845,382.0,388.5,-1.9,26.5
2017-10-09 00:52:00,3.82,382.0,388.0,-2.15,26.0
2017-10-09 00:53:00,3.745,382.5,389.0,-1.95,27.0
2017-10-09 00:54:00,3.705,382.5,389.5,-1.45,27.5
2017-10-09 00:55:00,3.5500002,385.5,395.0,-1.45,30.5
2017-10-09 00:56:00,3.725,384.5,393.5,-1.55,30.0
2017-10-09 00:57:00,3.745,385.5,395.0,-1.75,31.5
2017-10-09 00:58:00,3.7,386.0,395.5,-1.5,31.0
2017-10-09 00:59:00,3.7150002,385.5,394.0,-1.55,30.0
2017-10-09 01:00:00,3.73,385.5,395.5,-1.55,31.0
2017-10-09 01:01:00,3.9,385.0,395.0,-1.45,31.5
2017-10-09 01:02:00,3.75,385.5,394.0,-1.5,30.0
2017-10-09 01:03:00,4.12,382.5,388.5,-2.25,26.5
2017-10-09 01:04:00,3.975,382.0,388.5,-1.9,26.5
2017-10-09 01:05:00,3.85,381.5,388.0,-1.75,26.0
2017-10-09 01:06:00,3.8049998,382.0,388.0,-1.7,25.5
2017-10-09 01:07:00,3.71,382.0,388.5,-1.5999999,27.5
2017-10-09 01:08:00,3.685,382.0,388.0,-1.6,26.0
2017-10-09 01:09:00,3.71,382.0,389.0,-1.55,27.0
2017-10-09 01:10:00,3.33,386.5,397.0,-2.75,32.0
2017-10-09 01:11:00,3.4299998,385.0,395.5,-2.75,32.0
2017-10-09 01:12:00,3.425,386.5,399.0,-2.4,33.5
2017-10-09 01:13:00,3.295,387.0,398.5,-2.15,33.0
