,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-08 00:00:00,7.165,447.0,454.0,1.05,29.0
2017-10-08 00:01:00,7.8549995,437.5,447.5,1.45,32.0
2017-10-08 00:02:00,7.04,439.0,448.5,0.85,32.0
2017-10-08 00:03:00,7.305,427.5,437.5,0.9,33.0
2017-10-08 00:04:00,7.91,425.5,435.5,1.2,33.0
2017-10-08 00:05:00,6.41,423.0,434.5,1.05,33.5
2017-10-08 00:06:00,6.2250004,425.5,436.5,0.79999995,33.0
2017-10-08 00:07:00,6.46,431.5,441.5,1.3,32.0
2017-10-08 00:08:00,6.4700003,427.5,437.5,1.2,32.5
2017-10-08 00:09:00,5.765,419.5,432.5,0.3,36.0
2017-10-08 00:10:00,5.8900003,420.5,433.5,0.55,35.5
2017-10-08 00:11:00,6.0699997,421.0,433.5,0.55,35.0
2017-10-08 00:12:00,5.6549997,420.5,434.5,0.25,36.0
2017-10-08 00:13:00,5.9849997,429.5,441.0,0.8,34.0
2017-10-08 00:14:00,6.41,429.0,439.5,0.9,33.0
2017-10-08 00:15:00,6.3149996,427.5,438.5,0.95,33.5
2017-10-08 00:16:00,6.26,429.5,440.5,0.79999995,33.0
2017-10-08 00:17:00,6.16,426.0,437.5,0.55,33.5
2017-10-08 00:18:00,6.25,425.0,436.5,0.95000005,34.0
2017-10-08 00:19:00,6.625,416.0,429.0,1.05,36.0
2017-10-08 00:20:00,6.255,418.5,432.0,0.45,36.5
2017-10-08 00:21:00,6.25,421.0,433.5,-0.35000002,35.5
2017-10-08 00:22:00,6.59,423.0,435.0,-0.9,34.0
2017-10-08 00:23:00,6.51,423.0,435.5,-1.2,35.0
2017-10-08 00:24:00,6.705,424.5,436.0,-1.3499999,34.5
2017-10-08 00:25:00,6.56,422.5,434.5,-1.45,35.0
2017-10-08 00:26:00,6.37,421.0,433.5,-0.5,35.5
2017-10-08 00:27:00,6.455,422.0,434.0,-0.70000005,35.0
2017-10-08 00:28:00,6.1850004,423.0,435.5,-0.65000004,35.0
2017-10-08 00:29:00,6.51,420.0,432.5,0.6,36.0
2017-10-08 00:30:00,6.6800003,422.5,434.5,0.65,35.0
2017-10-08 00:31:00,6.965,426.5,437.5,0.9,34.0
2017-10-08 00:32:00,7.08,425.5,437.0,1.0,33.5
2017-10-08 00:33:00,6.44,423.5,436.0,0.85,35.0
2017-10-08 00:34:00,7.015,425.0,436.5,0.95000005,34.0
2017-10-08 00:35:00,6.7299995,420.0,433.5,1.1,36.0
2017-10-08 00:36:00,6.94,421.5,433.5,1.05,35.0
2017-10-08 00:37:00,7.21,423.5,434.5,1.25,33.5
2017-10-08 00:38:00,7.01,423.5,435.0,0.95000005,34.5
2017-10-08 00:39:00,6.79,421.5,434.5,1.25,35.0
2017-10-08 00:40:00,6.725,419.5,432.5,0.55,36.0
2017-10-08 00:41:00,6.4049997,421.0,434.5,0.35000002,36.0
2017-10-08 00:42:00,7.185,432.0,442.5,1.25,33.0
2017-10-08 00:43:00,7.16,428.0,439.0,0.95,33.5
2017-10-08 00:44:00,7.12,430.0,441.0,0.95000005,33.0
2017-10-08 00:45:00,7.195,439.0,449.0,1.4,32.0
2017-10-08 00:46:00,7.21,434.5,444.5,1.5999999,32.0
2017-10-08 00:47:00,7.1099997,434.0,444.5,1.2,33.0
2017-10-08 00:48:00,6.825,433.0,443.5,1.05,33.0
2017-10-08 00:49:00,6.84,426.0,437.0,1.05,33.5
2017-10-08 00:50:00,5.88,427.0,440.0,0.050000004,35.0
2017-10-08 00:51:00,6.215,430.5,443.5,-0.05,35.0
2017-10-08 00:52:00,5.92,424.5,437.5,-0.19999999,35.5
2017-10-08 00:53:00,5.925,417.5,431.5,-0.6,36.5
2017-10-08 00:54:00,5.915,417.5,432.0,-0.70000005,37.0
2017-10-08 00:55:00,5.9049997,418.0,432.5,-0.7,37.5
2017-10-08 00:56:00,5.92,417.0,432.5,-0.85,38.0
2017-10-08 00:57:00,6.33,417.5,432.0,-0.4,37.0
2017-10-08 00:58:00,6.255,417.5,432.0,-0.5,37.5
2017-10-08 00:59:00,6.395,421.5,434.5,-0.15,35.5
2017-10-08 01:00:00,6.335,420.0,433.0,-0.05,35.5
2017-10-08 01:01:00,5.965,421.0,434.0,-0.3,36.0
2017-10-08 01:02:00,6.195,418.0,431.5,-0.45,36.0
2017-10-08 01:03:00,6.105,417.0,431.0,-0.2,37.0
2017-10-08 01:04:00,6.6000004,418.5,432.0,-0.15,36.5
2017-10-08 01:05:00,6.425,417.5,432.5,-0.6,37.5
2017-10-08 01:06:00,6.6800003,416.5,430.5,-0.70000005,37.0
2017-10-08 01:07:00,6.5950003,415.5,430.5,-0.6,37.5
2017-10-08 01:08:00,6.1850004,418.0,431.5,-1.05,36.5
2017-10-08 01:09:00,5.7799997,419.5,434.0,-0.95,37.0
2017-10-08 01:10:00,6.205,416.0,430.5,-0.45000002,37.0
2017-10-08 01:11:00,6.255,416.5,430.5,-1.0,37.0
2017-10-08 01:12:00,6.235,416.5,430.0,-1.2,36.5
2017-10-08 01:13:00,6.45,418.5,431.0,-1.55,36.0
2017-10-08 01:14:00,6.4049997,420.0,432.0,-1.8,35.0
2017-10-08 01:15:00,6.535,420.0,432.0,-1.9,35.0
2017-10-08 01:16:00,6.385,421.0,433.0,-1.6,34.5
2017-10-08 01:17:00,6.355,421.5,433.5,-1.6,35.0
2017-10-08 01:18:00,6.42,419.0,432.0,-1.2,36.0
2017-10-08 01:19:00,6.29,420.0,433.5,-0.9,36.0
2017-10-08 01:20:00,6.24,418.5,432.0,0.0,37.0
2017-10-08 01:21:00,6.065,420.0,434.0,0.05,37.5
2017-10-08 01:22:00,6.375,418.0,432.0,0.35000002,36.5
2017-10-08 01:23:00,6.195,418.5,431.5,0.25,36.0
2017-10-08 01:24:00,5.5699997,422.5,437.5,-0.15,37.0
