,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-05 00:00:00,5.865,372.0,375.0,-1.55,22.0
2017-10-05 00:01:00,5.79,372.5,375.5,-1.55,22.0
2017-10-05 00:02:00,5.55,375.0,378.0,-1.6500001,22.0
2017-10-05 00:03:00,5.8,374.0,377.5,-1.7,22.0
2017-10-05 00:04:00,5.89,372.5,376.0,-1.45,22.0
2017-10-05 00:05:00,5.7200003,374.5,377.5,-1.3,22.5
2017-10-05 00:06:00,5.755,374.5,377.5,-1.25,22.0
2017-10-05 00:07:00,5.745,374.0,377.0,-1.3,22.0
2017-10-05 00:08:00,5.66,374.5,378.0,-1.35,22.5
2017-10-05 00:09:00,5.75,372.5,375.5,-1.25,22.0
2017-10-05 00:10:00,5.62,375.0,378.5,-1.3499999,22.5
2017-10-05 00:11:00,5.665,378.5,383.0,-0.95,24.0
2017-10-05 00:12:00,5.59,380.0,385.0,-1.1,25.0
2017-10-05 00:13:00,5.63,379.0,383.5,-1.1500001,24.0
2017-10-05 00:14:00,5.585,380.0,385.0,-1.45,24.5
2017-10-05 00:15:00,5.645,379.5,384.5,-1.1,24.5
2017-10-05 00:16:00,5.62,377.5,382.0,-1.2,24.0
2017-10-05 00:17:00,5.58,378.5,383.0,-1.2,24.0
2017-10-05 00:18:00,5.34,378.5,383.5,-1.85,24.5
2017-10-05 00:19:00,5.59,375.0,378.0,-1.1500001,22.5
2017-10-05 00:20:00,6.41,372.0,375.0,-0.15,21.5
2017-10-05 00:21:00,6.335,372.5,375.5,-0.2,21.5
2017-10-05 00:22:00,6.37,374.0,377.5,-0.15,22.0
2017-10-05 00:23:00,7.41,383.5,388.0,1.8,23.5
2017-10-05 00:24:00,6.7,378.5,382.0,0.6,23.0
2017-10-05 00:25:00,5.925,374.0,377.0,-0.8,22.0
2017-10-05 00:26:00,5.895,372.5,375.5,-0.85,22.0
2017-10-05 00:27:00,5.9750004,372.0,375.0,-0.8,22.0
2017-10-05 00:28:00,5.89,372.0,375.0,-1.0,22.0
2017-10-05 00:29:00,5.925,371.5,374.5,-1.1,21.5
2017-10-05 00:30:00,5.9399996,371.5,374.0,-0.9,21.0
2017-10-05 00:31:00,5.885,372.0,374.5,-1.1,21.5
2017-10-05 00:32:00,5.93,371.5,374.0,-0.85,21.0
2017-10-05 00:33:00,5.91,372.5,375.0,-1.1500001,21.5
2017-10-05 00:34:00,5.865,372.0,375.5,-1.3,21.5
2017-10-05 00:35:00,5.835,372.0,375.0,-1.1500001,21.0
2017-10-05 00:36:00,6.135,370.5,373.0,-0.6,21.5
2017-10-05 00:37:00,5.97,370.5,373.5,-0.79999995,21.0
2017-10-05 00:38:00,5.795,372.0,375.0,-0.95,22.0
2017-10-05 00:39:00,5.835,372.5,375.5,-1.1,21.5
2017-10-05 00:40:00,5.895,372.0,374.0,-0.79999995,21.0
2017-10-05 00:41:00,5.7799997,372.0,374.5,-1.05,21.5
2017-10-05 00:42:00,5.755,372.5,376.0,-1.05,22.0
2017-10-05 00:43:00,5.745,372.5,375.0,-0.85,21.5
2017-10-05 00:44:00,5.8999996,371.5,374.0,-0.95,21.5
2017-10-05 00:45:00,5.705,373.0,376.0,-0.85,22.5
2017-10-05 00:46:00,5.81,371.5,374.5,-0.85,21.5
2017-10-05 00:47:00,5.825,371.5,374.0,-0.65,21.5
2017-10-05 00:48:00,5.7,372.5,375.5,-0.85,22.0
2017-10-05 00:49:00,5.725,372.5,375.5,-1.0,22.0
2017-10-05 00:50:00,5.62,373.0,376.0,-1.1,22.0
2017-10-05 00:51:00,5.535,373.0,376.0,-1.1500001,22.0
2017-10-05 00:52:00,5.625,372.0,375.0,-1.2,22.0
2017-10-05 00:53:00,5.64,372.0,374.5,-1.2,21.5
2017-10-05 00:54:00,5.67,371.0,374.0,-1.4,21.5
2017-10-05 00:55:00,5.785,372.0,375.0,-1.35,22.0
2017-10-05 00:56:00,5.765,371.0,373.5,-1.2,21.5
2017-10-05 00:57:00,5.785,371.5,374.5,-1.3,22.0
2017-10-05 00:58:00,5.78,372.0,375.0,-1.3499999,22.0
2017-10-05 00:59:00,5.79,372.0,375.0,-1.2,21.5
2017-10-05 01:00:00,5.83,371.0,374.0,-1.25,21.5
2017-10-05 01:01:00,5.895,370.5,373.5,-1.25,21.0
2017-10-05 01:02:00,5.8500004,370.5,373.5,-1.2,21.0
2017-10-05 01:03:00,5.765,371.5,374.5,-1.2,22.0
2017-10-05 01:04:00,5.7799997,371.5,374.5,-1.2,22.0
2017-10-05 01:05:00,5.7650003,371.0,374.0,-1.2,21.5
2017-10-05 01:06:00,5.9049997,370.0,373.0,-1.1,21.0
2017-10-05 01:07:00,5.855,370.0,373.0,-1.1,21.0
2017-10-05 01:08:00,5.785,371.5,374.0,-1.1500001,22.0
2017-10-05 01:09:00,5.75,371.5,374.5,-1.1500001,21.5
2017-10-05 01:10:00,5.785,370.5,373.5,-1.1500001,21.5
