,N_p,V_p,V_He,NS_angle,Vth_p
2017-10-10 00:00:00,11.68,316.0,316.5,-2.9,19.0
2017-10-10 00:01:00,11.809999,316.5,317.0,-2.9,19.0
2017-10-10 00:02:00,11.635,315.5,316.5,-2.95,19.0
2017-10-10 00:03:00,11.299999,315.0,315.5,-2.65,19.0
2017-10-10 00:04:00,11.48,315.0,316.0,-2.75,19.0
2017-10-10 00:05:00,11.195,315.0,316.0,-2.5500002,19.0
2017-10-10 00:06:00,11.275,315.0,315.5,-2.7,19.0
2017-10-10 00:07:00,10.565001,315.0,316.0,-2.15,19.0
2017-10-10 00:08:00,10.700001,315.5,316.5,-2.25,19.0
2017-10-10 00:09:00,10.71,314.0,315.0,-2.1999998,19.0
2017-10-10 00:10:00,10.889999,314.0,314.5,-2.2,19.0
2017-10-10 00:11:00,11.095,314.5,315.5,-2.35,19.0
2017-10-10 00:12:00,11.065001,315.0,316.0,-2.35,19.0
2017-10-10 00:13:00,11.09,314.5,315.5,-2.4,19.0
2017-10-10 00:14:00,11.09,315.0,315.5,-2.35,19.0
2017-10-10 00:15:00,11.049999,315.0,315.5,-2.3,19.0
2017-10-10 00:16:00,11.01,315.0,316.0,-2.25,19.0
2017-10-10 00:17:00,10.985,315.0,315.5,-2.3000002,19.0
2017-10-10 00:18:00,11.08,315.0,315.5,-2.35,19.0
2017-10-10 00:19:00,10.88,313.5,314.0,-2.35,19.0
2017-10-10 00:20:00,11.055,313.5,314.5,-2.35,19.0
2017-10-10 00:21:00,11.005,314.5,315.5,-2.25,19.0
2017-10-10 00:22:00,11.155,314.5,315.5,-2.35,19.0
2017-10-10 00:23:00,11.815001,315.5,315.5,-2.6,19.0
2017-10-10 00:24:00,12.07,315.0,316.0,-2.75,19.0
2017-10-10 00:25:00,11.315001,314.0,314.5,-2.35,19.0
2017-10-10 00:26:00,11.28,312.5,313.5,-2.35,19.0
2017-10-10 00:27:00,11.63,314.0,314.5,-2.5500002,19.0
2017-10-10 00:28:00,12.66,316.5,317.0,-3.1,19.0
2017-10-10 00:29:00,13.889999,317.5,318.0,-3.65,19.0
2017-10-10 00:30:00,13.49,319.0,320.0,-3.4,19.0
2017-10-10 00:31:00,13.215,318.0,318.5,-3.35,19.0
2017-10-10 00:32:00,13.805,318.0,318.5,-3.6,19.0
2017-10-10 00:33:00,13.05,319.5,320.5,-3.25,18.5
2017-10-10 00:34:00,13.735001,318.5,319.5,-3.55,19.0
2017-10-10 00:35:00,14.440001,320.5,320.5,-3.9,18.5
2017-10-10 00:36:00,14.45,319.5,319.5,-3.75,19.0
2017-10-10 00:37:00,14.745,319.0,319.5,-3.95,18.5
2017-10-10 00:38:00,15.045,319.5,320.0,-4.0,18.0
