,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-14 00:00:00,4.7017,-1e+31,288309.6,0.0366,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-14 00:01:00,4.8923,695.14,295560.8,0.0295,-695.007,13.512,-1.8,-695.007,12.354,-5.645
2017-10-14 00:02:00,-1e+31,686.49,269089.8,-1e+31,-684.096,50.087,-27.896,-684.096,42.141,-39.291
2017-10-14 00:03:00,-1e+31,681.54,334754.6,-1e+31,-678.891,55.834,-22.068,-678.891,49.034,-34.923
2017-10-14 00:04:00,5.0432,681.53,288538.5,0.0273,-680.949,21.065,-18.556,-680.949,15.928,-23.715
2017-10-14 00:05:00,4.7012,688.3,279858.4,0.0272,-687.864,17.838,-16.65,-687.864,13.2,-21.148
2017-10-14 00:06:00,4.3546,689.03,267083.8,0.0328,-688.405,22.464,-18.984,-688.405,17.171,-24.478
2017-10-14 00:07:00,4.419,681.65,272239.6,0.0335,-681.103,20.844,-17.808,-681.103,15.845,-22.984
2017-10-14 00:08:00,4.3538,684.52,237602.5,0.0389,-684.184,16.015,-14.219,-684.184,11.939,-18.413
2017-10-14 00:09:00,4.5351,685.25,237156.9,0.0289,-684.763,14.481,-21.326,-684.763,8.828,-25.004
2017-10-14 00:10:00,4.4753,686.14,237461.3,0.0282,-685.81,13.788,-16.294,-685.81,9.279,-19.96
2017-10-14 00:11:00,4.6164,683.03,282028.2,0.0298,-682.636,16.567,-16.159,-682.636,12.005,-20.472
2017-10-14 00:12:00,4.3677,692.43,304444.0,0.0367,-691.875,9.985,-25.731,-691.875,3.411,-28.317
2017-10-14 00:13:00,4.2688,700.22,304596.9,0.0364,-700.008,12.176,-12.086,-700.008,8.63,-15.538
2017-10-14 00:14:00,4.0437,700.01,320965.6,0.0384,-699.762,13.544,-12.909,-699.762,9.766,-16.665
2017-10-14 00:15:00,,,,,,,,,,
2017-10-14 00:16:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-14 00:17:00,4.2804,701.95,327571.2,0.0379,-701.632,15.941,-14.102,-701.632,11.806,-18.402
2017-10-14 00:18:00,4.1953,703.12,315781.2,0.0345,-702.877,10.463,-15.265,-702.877,6.196,-18.298
2017-10-14 00:19:00,4.406,703.72,299400.7,0.0346,-703.288,14.358,-20.09,-703.288,8.873,-23.9
2017-10-14 00:20:00,4.2429,706.87,342165.1,0.0392,-706.469,19.492,-13.874,-706.469,15.281,-19.038
2017-10-14 00:21:00,4.0891,697.05,310014.0,0.0395,-696.73,19.152,-8.928,-696.73,16.073,-14.163
2017-10-14 00:22:00,4.0549,701.14,287508.9,0.0412,-700.833,17.754,-10.669,-700.833,14.303,-15.552
2017-10-14 00:23:00,4.1834,699.13,319781.0,0.0358,-698.765,19.015,-11.954,-698.765,15.223,-17.109
2017-10-14 00:24:00,4.3568,694.73,340175.5,0.0334,-694.482,17.955,-4.421,-694.482,15.916,-9.551
2017-10-14 00:25:00,4.3534,688.96,282742.2,0.0347,-688.287,22.982,-19.999,-688.287,17.206,-25.884
2017-10-14 00:26:00,4.3745,690.73,250866.2,0.0363,-690.181,24.511,-12.431,-690.181,20.427,-18.891
2017-10-14 00:27:00,4.0726,692.76,284061.5,0.0379,-692.291,21.304,-13.992,-692.291,16.935,-19.686
2017-10-14 00:28:00,4.0209,688.68,245192.8,0.0383,-688.23,19.362,-15.658,-688.23,14.647,-20.875
2017-10-14 00:29:00,4.177,687.54,231915.4,0.0352,-686.767,21.5,-24.529,-686.767,14.656,-30.015
2017-10-14 00:30:00,3.955,695.32,265577.4,0.035,-694.942,16.221,-16.329,-694.942,11.41,-20.83
2017-10-14 00:31:00,,,,,,,,,,
2017-10-14 00:32:00,4.3637,692.57,261006.1,0.0347,-692.213,17.442,-13.535,-692.213,13.235,-18.411
2017-10-14 00:33:00,4.3038,689.11,252045.3,0.0345,-688.766,18.821,-10.83,-688.766,15.195,-16.118
2017-10-14 00:34:00,4.589,679.07,276317.3,0.0338,-678.765,20.361,-1.941,-678.765,18.755,-7.851
2017-10-14 00:35:00,4.225,680.7,227672.8,0.0378,-680.224,20.038,-15.651,-680.224,15.229,-21.123
2017-10-14 00:36:00,-1e+31,682.14,257966.8,-1e+31,-681.075,33.59,-18.084,-681.075,27.821,-26.677
2017-10-14 00:37:00,3.8506,679.75,282267.1,0.0437,-679.564,15.861,1.036,-679.564,15.053,-3.955
2017-10-14 00:38:00,3.9711,679.72,257982.7,0.031,-678.438,29.046,-29.981,-678.438,20.581,-37.218
2017-10-14 00:39:00,3.9847,684.01,268534.8,0.0423,-682.394,38.378,-27.117,-682.394,30.304,-36.647
2017-10-14 00:40:00,3.6772,678.47,318585.4,0.0397,-676.72,37.17,-31.475,-676.72,28.085,-40.621
2017-10-14 00:41:00,3.7734,680.31,291692.2,0.0397,-677.364,54.67,-31.719,-677.364,45.012,-45.008
2017-10-14 00:42:00,-1e+31,681.13,253361.8,-1e+31,-678.227,54.494,-31.296,-678.227,44.918,-44.584
2017-10-14 00:43:00,-1e+31,676.08,264850.3,-1e+31,-672.803,56.862,-34.366,-672.803,46.469,-48.156
2017-10-14 00:44:00,3.9756,676.73,276724.5,0.0348,-672.568,66.981,-33.585,-672.568,56.461,-49.825
2017-10-14 00:45:00,3.9474,680.73,260866.3,0.0344,-676.78,60.866,-40.642,-676.78,48.82,-55.261
2017-10-14 00:46:00,3.9678,677.62,264062.4,0.0406,-675.437,42.977,-33.329,-675.437,33.156,-43.934
2017-10-14 00:47:00,,,,,,,,,,
2017-10-14 00:48:00,4.4335,673.98,286672.0,0.0312,-672.94,29.449,-22.953,-672.94,22.466,-30.658
2017-10-14 00:49:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-14 00:50:00,4.0935,682.2,307478.4,0.0284,-679.44,56.642,-23.355,-679.44,48.739,-37.589
2017-10-14 00:51:00,4.1646,676.77,230538.1,0.0317,-673.462,60.308,-28.753,-673.462,50.985,-43.739
2017-10-14 00:52:00,4.0054,675.37,286611.4,0.0278,-672.56,53.041,-31.268,-672.56,43.303,-44.468
2017-10-14 00:53:00,-1e+31,685.22,258061.0,-1e+31,-681.858,65.472,-17.636,-681.858,58.622,-34.252
2017-10-14 00:54:00,3.8266,682.84,287232.6,0.0267,-679.368,64.737,-23.158,-679.368,56.559,-39.471
2017-10-14 00:55:00,4.2087,683.82,286417.2,0.0328,-681.203,53.676,-26.343,-681.203,45.034,-39.929
2017-10-14 00:56:00,3.9282,681.32,260251.8,0.028,-677.555,71.485,-0.411,-677.555,68.557,-19.096
2017-10-14 00:57:00,4.3038,679.19,256720.7,0.0315,-675.507,68.201,-18.339,-675.507,61.019,-35.737
2017-10-14 00:58:00,3.9321,677.39,315493.4,0.0278,-674.055,63.338,-22.284,-674.055,55.324,-38.423
2017-10-14 00:59:00,3.8252,674.41,249325.3,0.0292,-672.597,33.775,-36.082,-672.597,23.273,-44.665
2017-10-14 01:00:00,4.0395,665.06,237663.6,0.0278,-663.344,25.831,-40.084,-663.344,14.57,-46.636
2017-10-14 01:01:00,4.1061,668.01,273946.8,0.0307,-665.913,34.855,-39.834,-665.913,23.357,-48.608
2017-10-14 01:02:00,3.9377,662.51,256831.2,0.034,-660.906,34.223,-30.924,-660.906,24.891,-39.835
2017-10-14 01:03:00,,,,,,,,,,
2017-10-14 01:04:00,3.9432,656.54,241171.0,0.0413,-655.211,29.146,-29.958,-655.211,20.181,-37.678
2017-10-14 01:05:00,3.9323,658.99,245820.2,0.0298,-657.59,32.727,-27.682,-657.59,24.188,-36.369
2017-10-14 01:06:00,4.2216,661.2,281768.9,0.0337,-660.032,31.992,-22.889,-660.032,24.63,-31.563
2017-10-14 01:07:00,3.9544,675.68,255293.6,0.0348,-673.905,32.512,-36.631,-673.905,21.736,-45.032
2017-10-14 01:08:00,5.1608,675.12,326302.3,0.0216,-671.228,70.29,17.222,-671.228,71.589,-2.166
2017-10-14 01:09:00,4.036,687.13,294212.3,0.0319,-685.432,38.638,-28.962,-685.432,29.513,-39.153
2017-10-14 01:10:00,3.7983,707.08,344693.8,0.0301,-705.523,42.178,-20.562,-705.523,34.997,-31.914
2017-10-14 01:11:00,4.0365,702.38,337932.4,0.0228,-701.207,34.032,-22.024,-701.207,26.722,-31.339
2017-10-14 01:12:00,4.1225,692.69,297573.0,0.0342,-691.62,22.558,-31.15,-691.62,13.322,-37.355
2017-10-14 01:13:00,4.0794,704.29,363344.5,0.0258,-703.844,23.696,-7.917,-703.844,20.178,-15.15
2017-10-14 01:14:00,4.3226,675.19,306950.4,0.0364,-674.621,21.785,-17.319,-674.621,15.973,-23.8
2017-10-14 01:15:00,3.9283,682.88,310267.5,0.0338,-682.582,17.116,-10.582,-682.582,13.116,-16.128
2017-10-14 01:16:00,4.4562,692.33,343476.6,0.0356,-692.256,9.819,-3.478,-692.256,7.814,-7.442
2017-10-14 01:17:00,4.2839,690.59,330123.7,0.0288,-690.534,8.461,-1.023,-690.534,7.106,-4.739
2017-10-14 01:18:00,-1e+31,664.21,267438.5,-1e+31,-661.601,50.883,-29.429,-661.601,41.032,-42.897
2017-10-14 01:19:00,,,,,,,,,,
2017-10-14 01:20:00,3.8676,662.32,291940.9,0.0275,-659.153,55.616,-33.011,-659.153,44.685,-47.585
2017-10-14 01:21:00,3.7006,668.25,314328.1,0.0348,-665.711,44.89,-36.994,-665.711,33.273,-48.769
2017-10-14 01:22:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-14 01:23:00,4.1109,670.26,271596.2,0.0252,-667.682,47.519,-34.436,-667.682,36.404,-47.012
2017-10-14 01:24:00,3.9903,673.22,265944.2,0.0269,-670.632,49.123,-32.562,-670.632,38.402,-45.634
2017-10-14 01:25:00,3.8036,666.71,281599.3,0.0283,-664.266,48.3,-30.422,-664.266,38.121,-43.384
2017-10-14 01:26:00,3.8799,671.19,288941.1,0.0325,-668.438,48.461,-36.616,-668.438,36.673,-49.445
2017-10-14 01:27:00,3.715,687.58,298655.2,0.0343,-686.058,28.695,-35.578,-686.058,17.794,-43.43
