,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-11 00:52:00,14.4824,370.56,71654.3,0.0283,-370.066,-13.447,-13.512,-370.066,-17.165,-11.201
2017-10-11 00:53:00,14.1692,369.51,70502.9,0.0281,-368.997,-14.509,-13.104,-368.997,-18.105,-10.547
2017-10-11 00:54:00,14.1283,369.4,67929.0,0.0319,-368.432,-18.39,-19.441,-368.432,-23.443,-15.73
2017-10-11 00:55:00,14.2075,368.74,68611.7,0.0285,-367.917,-17.951,-16.944,-367.917,-22.412,-13.421
2017-10-11 00:56:00,13.8895,371.3,68677.2,0.0282,-370.397,-16.644,-19.766,-370.397,-21.858,-16.48
2017-10-11 00:57:00,14.048,370.1,68393.4,0.0265,-369.05,-18.16,-21.174,-369.05,-23.69,-17.468
2017-10-11 00:58:00,14.4709,369.45,70996.5,0.0289,-368.597,-17.055,-18.444,-368.597,-21.953,-15.099
2017-10-11 00:59:00,13.2475,370.37,75743.3,0.0259,-369.479,-15.986,-20.168,-369.479,-21.361,-17.036
2017-10-11 01:00:00,14.2968,368.77,71971.7,0.0298,-367.869,-17.045,-19.392,-367.869,-22.205,-16.021
2017-10-11 01:01:00,14.0743,369.45,72316.9,0.0239,-368.614,-17.766,-17.432,-368.614,-22.426,-13.944
2017-10-11 01:02:00,13.6213,370.61,72216.3,0.0306,-369.803,-16.142,-18.256,-369.803,-21.073,-15.149
2017-10-11 01:03:00,,,,,,,,,,
2017-10-11 01:04:00,15.339,371.84,78027.6,0.0289,-371.139,-15.829,-16.431,-371.139,-20.324,-13.462
2017-10-11 01:05:00,15.1004,374.14,76502.3,0.0278,-373.309,-14.306,-20.468,-373.309,-19.878,-17.753
2017-10-11 01:06:00,14.2704,371.81,78244.3,0.0269,-371.03,-15.207,-18.726,-371.03,-20.325,-15.842
2017-10-11 01:07:00,14.1223,372.72,75221.3,0.0271,-371.87,-14.197,-20.781,-371.87,-19.879,-18.087
2017-10-11 01:08:00,14.1316,373.04,76471.9,0.03,-372.23,-15.164,-19.258,-372.23,-20.444,-16.369
2017-10-11 01:09:00,13.3918,372.15,72439.1,0.0305,-371.51,-14.205,-16.527,-371.51,-18.839,-13.971
2017-10-11 01:10:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-11 01:11:00,14.1911,371.57,72866.2,0.0277,-370.934,-14.217,-16.339,-370.934,-18.827,-13.789
2017-10-11 01:12:00,14.3991,372.24,74915.2,0.0292,-371.479,-14.457,-18.913,-371.479,-19.728,-16.218
2017-10-11 01:13:00,14.9226,372.3,75785.7,0.0275,-371.5,-17.699,-16.844,-371.5,-22.347,-13.391
2017-10-11 01:14:00,14.8164,371.63,68349.5,0.0288,-371.132,-15.83,-11.031,-371.132,-19.067,-8.248
2017-10-11 01:15:00,15.1896,374.07,70823.1,0.0285,-373.788,-11.864,-8.562,-373.788,-14.611,-6.878
2017-10-11 01:16:00,14.548,375.33,79542.8,0.0219,-375.094,-7.687,-10.73,-375.094,-11.139,-10.049
2017-10-11 01:17:00,12.9259,373.28,68622.8,0.022,-372.745,-14.545,-13.768,-372.745,-18.558,-11.225
2017-10-11 01:18:00,12.3568,371.08,69749.8,0.0222,-370.478,-15.651,-14.113,-370.478,-19.727,-11.276
2017-10-11 01:19:00,,,,,,,,,,
2017-10-11 01:20:00,12.2996,371.53,68860.6,0.0237,-370.795,-16.444,-16.511,-370.795,-21.123,-13.387
2017-10-11 01:21:00,12.8959,371.93,67325.3,0.0249,-371.266,-16.637,-14.747,-371.266,-20.866,-11.633
2017-10-11 01:22:00,13.1245,372.05,69637.8,0.0236,-371.439,-17.032,-12.855,-371.439,-20.769,-9.702
