,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-12 00:00:00,15.6426,-1e+31,199891.7,0.0309,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-12 00:01:00,-1e+31,507.97,227628.6,-1e+31,-500.762,67.69,-51.888,-500.762,53.585,-66.861
2017-10-12 00:02:00,16.2686,500.69,231116.7,0.0322,-495.033,66.149,-35.389,-495.033,55.834,-50.473
2017-10-12 00:03:00,15.8975,495.14,251879.7,0.0256,-489.649,64.414,-35.477,-489.649,54.106,-50.187
2017-10-12 00:04:00,15.0415,499.34,232457.5,0.0326,-494.045,64.864,-32.503,-494.045,55.207,-47.422
2017-10-12 00:05:00,14.6581,501.16,233156.8,0.0346,-495.769,66.366,-31.196,-495.769,56.949,-46.521
2017-10-12 00:06:00,15.6218,499.05,216272.2,0.0295,-493.473,69.001,-27.901,-493.473,60.252,-43.947
2017-10-12 00:07:00,14.0525,497.39,208504.4,0.0314,-491.887,66.845,-31.177,-491.887,57.382,-46.668
2017-10-12 00:08:00,14.6731,493.85,199923.4,0.0341,-488.128,68.62,-30.205,-488.128,59.313,-46.159
2017-10-12 00:09:00,15.3376,496.59,210781.4,0.0286,-490.406,71.959,-30.4,-490.406,62.499,-47.147
2017-10-12 00:10:00,16.0472,497.16,223344.0,0.0283,-491.817,68.815,-23.341,-491.817,61.049,-39.583
2017-10-12 00:11:00,14.6361,500.69,224699.0,0.0329,-495.634,66.344,-25.315,-495.634,58.172,-40.962
2017-10-12 00:12:00,16.205,491.31,232596.2,0.0268,-487.248,61.561,-13.502,-487.248,56.234,-28.391
2017-10-12 00:13:00,14.4212,491.05,241007.9,0.033,-487.022,59.528,-19.853,-487.022,52.77,-34.126
2017-10-12 00:14:00,15.5148,507.59,218922.2,0.0353,-504.101,59.396,0.693,-504.101,57.394,-14.137
2017-10-12 00:15:00,,,,,,,,,,
2017-10-12 00:16:00,15.6346,513.69,239228.0,0.0269,-509.453,65.803,1.907,-509.453,63.897,-14.475
2017-10-12 00:17:00,14.847,505.64,219172.8,0.0299,-502.184,58.974,1.867,-502.184,57.235,-12.956
2017-10-12 00:18:00,15.3244,522.98,249650.8,0.0346,-518.538,68.003,1.143,-518.538,65.837,-15.793
2017-10-12 00:19:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-12 00:20:00,14.2388,516.16,228419.5,0.0354,-512.68,59.563,5.596,-512.68,58.649,-9.556
2017-10-12 00:21:00,14.9992,517.42,229133.0,0.0342,-513.913,59.972,4.265,-513.913,58.725,-10.977
2017-10-12 00:22:00,15.391,511.29,255003.8,0.0307,-508.907,49.241,-2.454,-508.907,46.709,-15.026
2017-10-12 00:23:00,14.8877,512.6,237745.6,0.0306,-509.473,55.293,11.926,-509.473,55.955,-2.493
2017-10-12 00:24:00,14.4679,513.09,227719.2,0.0309,-509.704,58.066,9.536,-509.704,58.082,-5.497
2017-10-12 00:25:00,14.1117,498.52,251149.9,0.0305,-495.679,46.471,-25.875,-495.679,38.476,-37.219
2017-10-12 00:26:00,14.3602,496.6,240545.5,0.0295,-494.259,45.869,-14.562,-494.259,40.537,-26.107
2017-10-12 00:27:00,13.3508,502.67,231038.6,0.0328,-500.48,46.87,-1.913,-500.48,44.478,-14.076
2017-10-12 00:28:00,14.0076,502.07,242023.2,0.0303,-499.645,47.475,-13.172,-499.645,42.395,-25.186
2017-10-12 00:29:00,13.5528,507.31,234518.0,0.0316,-504.55,52.734,3.432,-504.55,51.418,-10.323
2017-10-12 00:30:00,-1e+31,512.57,242001.6,-1e+31,-510.52,40.389,-21.684,-510.52,33.465,-31.83
2017-10-12 00:31:00,,,,,,,,,,
2017-10-12 00:32:00,-1e+31,497.98,250270.4,-1e+31,-495.623,42.829,-22.452,-495.623,35.637,-33.179
2017-10-12 00:33:00,-1e+31,496.08,241696.0,-1e+31,-493.091,45.089,-30.389,-493.091,35.928,-41.449
2017-10-12 00:34:00,-1e+31,500.02,214257.5,-1e+31,-497.367,44.141,-26.446,-497.367,35.925,-37.418
2017-10-12 00:35:00,-1e+31,496.45,201304.3,-1e+31,-493.592,49.516,-19.328,-493.592,42.821,-31.809
2017-10-12 00:36:00,-1e+31,488.28,190753.2,-1e+31,-485.408,39.01,-35.709,-485.408,28.692,-45.238
2017-10-12 00:37:00,12.3748,489.73,206227.2,0.0333,-487.09,48.519,-15.031,-487.09,42.844,-27.453
2017-10-12 00:38:00,11.235,491.31,211056.0,0.0369,-489.533,38.281,-16.567,-489.533,32.52,-26.521
2017-10-12 00:39:00,12.9577,489.97,213400.4,0.0297,-488.248,40.535,-6.453,-488.248,37.117,-17.265
2017-10-12 00:40:00,12.284,485.37,198750.8,0.0325,-481.167,52.355,-36.317,-481.167,41.409,-49.119
2017-10-12 00:41:00,12.5788,486.07,195577.5,0.0321,-481.844,51.705,-37.664,-481.844,40.429,-50.297
2017-10-12 00:42:00,12.5778,485.05,199069.0,0.0305,-480.001,55.92,-41.726,-480.001,43.516,-55.282
2017-10-12 00:43:00,13.2155,480.8,212182.5,0.0287,-476.232,57.195,-33.224,-476.232,46.776,-47.366
2017-10-12 00:44:00,12.5543,484.73,214865.9,0.0282,-482.439,40.677,-23.676,-482.439,33.03,-34.14
2017-10-12 00:45:00,11.0233,495.78,202538.6,0.0334,-493.717,41.319,-18.335,-493.717,34.927,-29.137
2017-10-12 00:46:00,12.4627,485.41,194419.0,-1e+31,-480.419,51.905,-46.114,-480.419,38.446,-58.678
2017-10-12 00:47:00,,,,,,,,,,
2017-10-12 00:48:00,12.8315,487.19,209661.1,0.0266,-484.198,42.908,-32.687,-484.198,32.949,-43.495
2017-10-12 00:49:00,11.4687,490.67,199528.7,0.0351,-487.941,42.864,-28.855,-487.941,33.814,-39.791
2017-10-12 00:50:00,12.6678,492.4,219693.1,0.03,-489.33,43.921,-32.909,-489.33,33.829,-44.006
2017-10-12 00:51:00,12.6631,503.24,209711.9,0.0294,-501.636,38.181,-12.503,-501.636,33.217,-22.841
2017-10-12 00:52:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-12 00:53:00,11.7256,499.23,218137.9,0.0332,-497.054,41.711,-20.675,-497.054,34.609,-31.678
2017-10-12 00:54:00,12.151,500.1,225314.8,0.0314,-497.911,42.8,-18.733,-497.911,36.122,-30.088
2017-10-12 00:55:00,13.4178,489.62,237145.4,0.0263,-487.637,43.01,-9.574,-487.637,38.556,-21.286
2017-10-12 00:56:00,12.6159,493.72,234838.1,0.0225,-491.839,42.797,-5.189,-491.839,39.413,-17.011
2017-10-12 00:57:00,13.7334,515.65,223390.9,0.0243,-513.093,50.894,6.291,-513.093,50.077,-7.908
2017-10-12 00:58:00,12.69,513.63,220701.6,0.0246,-511.401,46.991,8.993,-511.401,46.953,-4.359
2017-10-12 00:59:00,13.4895,513.93,214100.1,0.0249,-511.303,51.501,6.168,-511.303,50.616,-8.242
2017-10-12 01:00:00,12.1916,512.29,211420.4,0.0296,-509.979,46.986,12.33,-509.979,47.759,-1.188
2017-10-12 01:01:00,13.0636,510.35,214198.2,0.0262,-507.995,47.563,11.56,-507.995,48.121,-2.108
2017-10-12 01:02:00,11.7415,505.18,220138.2,0.0304,-503.525,40.752,2.228,-503.525,39.197,-9.486
2017-10-12 01:03:00,,,,,,,,,,
2017-10-12 01:04:00,10.5885,499.27,221464.8,0.0303,-497.355,39.449,-18.724,-497.355,32.706,-29.481
2017-10-12 01:05:00,11.6109,497.27,218635.1,0.031,-493.344,45.24,-42.903,-493.344,32.264,-54.366
2017-10-12 01:06:00,12.8699,509.75,208842.9,0.0315,-503.057,62.615,-53.476,-503.057,46.413,-68.971
2017-10-12 01:07:00,11.8514,505.07,218721.4,0.0302,-499.303,56.131,-51.41,-499.303,40.616,-65.379
2017-10-12 01:08:00,10.8409,503.74,217244.0,0.0366,-498.627,54.796,-46.094,-498.627,40.62,-59.927
2017-10-12 01:09:00,11.7385,503.02,217937.3,0.0302,-498.382,50.887,-45.365,-498.382,36.986,-58.268
2017-10-12 01:10:00,12.4444,501.54,215524.1,0.0259,-498.099,44.812,-37.891,-498.099,32.956,-49.534
2017-10-12 01:11:00,11.0075,507.39,226744.5,0.0347,-504.345,40.648,-37.753,-504.345,28.933,-48.376
2017-10-12 01:12:00,11.1551,508.86,217313.8,0.032,-505.038,45.75,-42.186,-505.038,32.719,-53.979
2017-10-12 01:13:00,11.7625,500.21,230937.2,0.0275,-497.25,41.937,-34.544,-497.25,30.934,-45.646
2017-10-12 01:14:00,11.8807,501.48,227844.5,0.0252,-499.47,40.584,-19.083,-499.47,33.518,-30.372
2017-10-12 01:15:00,10.9312,507.86,232084.2,0.0316,-505.49,38.43,-30.446,-505.49,28.528,-40.842
2017-10-12 01:16:00,14.2366,519.97,151448.0,0.0276,-515.541,66.779,-11.339,-515.541,60.781,-29.604
2017-10-12 01:17:00,13.1057,519.42,157779.7,0.0256,-515.621,61.866,-10.207,-515.621,56.299,-27.296
2017-10-12 01:18:00,11.1035,516.21,179732.7,0.0264,-513.593,49.228,-16.485,-513.593,42.457,-30.174
2017-10-12 01:19:00,,,,,,,,,,
2017-10-12 01:20:00,9.3173,508.69,202207.9,0.039,-506.491,42.712,-20.194,-506.491,35.188,-32.123
2017-10-12 01:21:00,10.3294,521.12,178558.6,0.0327,-518.154,51.467,-20.798,-518.154,43.475,-34.979
2017-10-12 01:22:00,10.1416,520.26,179832.4,0.0265,-517.754,48.242,-16.561,-517.754,41.423,-30.088
2017-10-12 01:23:00,9.4901,521.4,191998.2,0.039,-519.265,44.133,-16.497,-519.265,37.448,-29.0
