,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-06 00:00:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-06 00:01:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-06 00:02:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-06 00:03:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-06 00:04:00,12.889,417.47,129842.4,0.0556,-412.41,56.263,-32.108,-412.41,46.292,-45.628
2017-10-06 00:05:00,14.083,412.13,128427.5,0.0486,-407.299,55.853,-28.971,-407.299,46.628,-42.509
2017-10-06 00:06:00,12.4894,409.54,130391.9,0.0471,-405.555,51.703,-23.955,-405.555,43.789,-36.666
2017-10-06 00:07:00,12.1153,412.4,128021.8,0.0504,-407.619,56.815,-26.242,-407.619,48.18,-40.142
2017-10-06 00:08:00,13.1175,413.44,129701.0,0.0434,-408.496,57.107,-28.273,-408.496,47.954,-42.209
2017-10-06 00:09:00,14.4581,419.05,138668.4,0.0361,-414.961,52.996,-24.562,-414.961,44.842,-37.64
2017-10-06 00:10:00,12.3425,417.18,124330.9,0.0499,-413.608,48.815,-24.251,-413.608,40.842,-36.353
2017-10-06 00:11:00,13.2349,410.33,120542.6,0.045,-406.782,49.458,-21.214,-406.782,42.182,-33.585
2017-10-06 00:12:00,12.2847,406.17,117360.0,0.045,-402.976,45.759,-22.192,-402.976,38.34,-33.662
2017-10-06 00:13:00,13.054,404.3,124357.8,0.0451,-401.111,47.238,-18.318,-401.111,40.696,-30.286
2017-10-06 00:14:00,13.3704,410.71,117853.6,0.0412,-407.124,50.539,-19.472,-407.124,43.601,-32.231
2017-10-06 00:15:00,,,,,,,,,,
2017-10-06 00:16:00,13.6634,410.59,115382.6,0.0411,-406.691,54.709,-13.781,-406.691,49.013,-27.75
2017-10-06 00:17:00,12.8709,405.89,106114.8,0.0375,-402.921,46.753,-14.711,-402.921,41.054,-26.742
2017-10-06 00:18:00,12.1554,413.69,119730.7,0.0438,-410.186,42.401,-33.025,-410.186,32.351,-43.466
2017-10-06 00:19:00,12.8324,410.68,111423.1,0.0398,-406.644,55.023,-16.488,-406.644,48.608,-30.534
2017-10-06 00:20:00,12.7054,411.0,114955.2,0.0403,-407.499,49.924,-19.315,-407.499,42.955,-32.055
2017-10-06 00:21:00,13.1784,410.05,122140.3,0.0406,-406.681,48.59,-19.782,-406.681,41.529,-32.207
2017-10-06 00:22:00,13.4292,409.2,114573.8,0.0405,-405.456,52.35,-17.552,-405.456,45.704,-30.992
2017-10-06 00:23:00,11.6093,398.85,123829.0,0.052,-395.961,41.92,-23.269,-395.961,34.171,-34.001
2017-10-06 00:24:00,12.2382,397.76,119213.6,0.047,-394.517,45.261,-22.87,-394.517,37.489,-34.458
2017-10-06 00:25:00,12.9892,399.58,123078.2,0.0451,-395.977,49.067,-21.479,-395.977,41.501,-34.071
2017-10-06 00:26:00,12.6687,404.46,120399.7,0.0453,-400.785,49.547,-22.459,-400.785,41.706,-35.164
2017-10-06 00:27:00,11.9732,406.36,116285.0,0.047,-402.882,49.119,-20.136,-402.882,41.845,-32.834
2017-10-06 00:28:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-06 00:29:00,13.2144,413.94,122078.1,0.0456,-410.137,50.665,-23.756,-410.137,42.41,-36.775
