,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-07 00:00:00,7.3664,-1e+31,100814.7,0.0236,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 00:01:00,7.0737,400.1,98444.5,0.0207,-397.473,30.951,33.775,-397.473,37.53,24.535
2017-10-07 00:02:00,7.3164,400.36,98000.1,0.0222,-397.801,28.5,35.042,-397.801,35.45,26.328
2017-10-07 00:03:00,7.5391,402.31,99934.3,0.019,-399.284,36.426,33.168,-399.284,42.699,22.597
2017-10-07 00:04:00,7.1871,404.75,95133.4,0.0197,-402.551,24.677,34.16,-402.551,31.526,26.341
2017-10-07 00:05:00,6.7427,402.28,94499.9,0.023,-400.393,21.187,32.629,-400.393,27.771,25.668
2017-10-07 00:06:00,6.761,400.81,94197.7,0.0202,-399.215,17.615,31.065,-399.215,23.927,24.984
2017-10-07 00:07:00,6.6004,396.58,97195.0,0.0232,-395.865,-2.212,23.682,-395.865,2.908,22.545
2017-10-07 00:08:00,6.6205,393.3,93100.9,0.0268,-392.238,-3.796,28.567,-392.238,2.541,27.655
2017-10-07 00:09:00,6.511,392.9,94701.0,0.0207,-391.653,6.251,30.628,-391.653,12.79,27.231
2017-10-07 00:10:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 00:11:00,6.7248,391.89,92692.9,0.0227,-390.375,13.572,31.578,-390.375,20.125,26.36
2017-10-07 00:12:00,6.7307,389.09,100541.5,0.0261,-387.932,10.193,28.241,-387.932,16.041,23.918
2017-10-07 00:13:00,6.547,391.29,96750.3,0.0234,-389.567,22.724,28.75,-389.567,28.325,21.373
2017-10-07 00:14:00,7.3578,396.23,99716.6,0.0239,-394.051,28.572,30.084,-394.051,34.321,21.236
2017-10-07 00:15:00,,,,,,,,,,
2017-10-07 00:16:00,6.7145,388.84,91672.4,0.0247,-387.696,9.546,28.198,-387.696,15.403,23.983
2017-10-07 00:17:00,6.1323,387.99,105027.6,0.0256,-386.596,20.31,25.833,-386.596,25.274,19.067
2017-10-07 00:18:00,6.6458,387.33,102499.8,0.0247,-386.094,18.763,24.544,-386.094,23.459,18.171
2017-10-07 00:19:00,6.5412,386.98,94091.5,0.0249,-385.767,21.013,22.221,-385.767,25.077,15.353
2017-10-07 00:20:00,6.2218,387.11,110779.9,0.0272,-386.007,19.364,21.879,-386.007,23.391,15.402
2017-10-07 00:21:00,7.0226,393.08,91123.2,0.0218,-390.562,37.318,24.03,-390.562,41.327,13.101
2017-10-07 00:22:00,6.7937,390.18,89240.9,0.026,-388.183,29.956,25.676,-388.183,34.584,16.466
2017-10-07 00:23:00,-1e+31,388.08,98207.7,-1e+31,-386.62,26.919,20.251,-386.62,30.314,11.922
2017-10-07 00:24:00,6.6253,389.21,103068.0,0.0219,-387.965,24.398,19.235,-387.965,27.618,11.531
2017-10-07 00:25:00,6.2567,386.85,100921.2,0.0285,-385.948,23.71,11.771,-385.948,25.122,4.441
2017-10-07 00:26:00,6.0079,385.75,98089.4,0.0244,-385.215,14.768,13.881,-385.215,16.963,8.657
2017-10-07 00:27:00,6.0825,385.25,100469.0,0.0279,-384.527,18.243,14.894,-384.527,20.575,8.769
2017-10-07 00:28:00,6.1048,386.13,108614.2,0.0266,-385.426,18.62,13.892,-385.426,20.691,7.686
2017-10-07 00:29:00,6.0166,386.57,109324.7,0.0246,-386.005,17.362,11.679,-386.005,18.923,5.832
2017-10-07 00:30:00,6.2679,386.07,106452.3,0.0254,-385.166,23.614,11.683,-385.166,24.978,4.279
2017-10-07 00:31:00,,,,,,,,,,
2017-10-07 00:32:00,6.3527,387.57,104393.7,0.0268,-386.046,29.294,18.017,-386.046,32.038,8.996
2017-10-07 00:33:00,6.1539,388.51,115112.5,0.0276,-387.185,28.032,15.66,-387.185,30.23,7.001
2017-10-07 00:34:00,6.3446,387.81,107931.0,0.0243,-386.343,30.421,14.377,-386.343,32.222,5.144
2017-10-07 00:35:00,6.239,386.85,112933.6,0.0256,-385.448,29.065,15.413,-385.448,31.16,6.461
2017-10-07 00:36:00,5.9318,385.53,114552.3,0.0296,-384.354,25.984,15.148,-384.354,28.104,6.946
2017-10-07 00:37:00,5.6165,384.61,111171.8,0.0335,-384.226,14.082,9.745,-384.226,15.228,4.646
2017-10-07 00:38:00,5.8369,383.54,106337.9,0.0275,-383.044,16.939,9.854,-383.044,18.018,4.023
2017-10-07 00:39:00,5.8733,384.43,112546.0,0.0308,-383.796,17.752,13.089,-383.796,19.605,6.936
2017-10-07 00:40:00,5.4366,384.11,121650.3,0.0245,-383.777,10.434,12.212,-383.777,12.295,7.893
2017-10-07 00:41:00,5.9878,385.87,111101.2,0.0263,-385.54,11.775,10.849,-385.54,13.248,6.222
2017-10-07 00:42:00,5.866,385.72,116759.6,0.0276,-385.334,13.527,10.623,-385.334,14.884,5.549
2017-10-07 00:43:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 00:44:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 00:45:00,5.4799,387.2,116319.2,0.0291,-386.846,14.206,8.54,-386.846,15.002,3.311
2017-10-07 00:46:00,5.38,385.12,114494.8,0.0308,-384.961,9.455,5.941,-384.961,9.745,1.974
2017-10-07 00:47:00,,,,,,,,,,
2017-10-07 00:48:00,5.7752,383.65,104406.5,0.0274,-383.265,16.783,3.495,-383.265,16.212,-2.254
2017-10-07 00:49:00,5.8746,384.53,105814.0,0.0269,-384.135,16.729,4.854,-384.135,16.496,-0.944
2017-10-07 00:50:00,5.8596,384.3,103786.5,0.0292,-384.114,11.913,2.105,-384.114,11.134,-2.404
2017-10-07 00:51:00,6.1755,384.78,106547.0,0.0258,-384.174,18.406,11.385,-384.174,19.757,4.914
2017-10-07 00:52:00,5.9895,384.67,104868.0,0.0237,-383.881,21.255,12.373,-383.881,22.758,5.128
2017-10-07 00:53:00,6.1632,384.08,104189.5,0.026,-383.817,11.374,8.674,-383.817,12.257,4.04
2017-10-07 00:54:00,6.0353,382.73,104469.7,0.0258,-382.352,13.031,11.098,-382.352,14.471,5.947
2017-10-07 00:55:00,5.9123,384.29,102193.9,0.0254,-384.053,11.278,7.614,-384.053,11.883,3.008
2017-10-07 00:56:00,6.0304,383.66,108717.8,0.0269,-383.211,14.182,11.898,-383.211,15.778,6.392
2017-10-07 00:57:00,6.1494,383.66,105261.8,0.0272,-383.141,18.156,8.13,-383.141,18.652,1.716
2017-10-07 00:58:00,6.1311,383.56,104279.7,0.0261,-383.184,13.876,9.776,-383.184,14.931,4.384
2017-10-07 00:59:00,5.3624,372.92,107847.6,-1e+31,-372.643,11.517,8.425,-372.643,12.299,3.667
2017-10-07 01:00:00,5.9024,384.76,109368.0,0.0246,-384.375,13.531,10.578,-384.375,14.794,5.214
2017-10-07 01:01:00,5.9407,383.46,101743.6,0.0268,-383.128,12.417,10.113,-383.128,13.592,5.033
2017-10-07 01:02:00,5.8155,382.88,98351.1,0.028,-382.622,10.317,9.558,-382.622,11.416,5.022
2017-10-07 01:03:00,,,,,,,,,,
2017-10-07 01:04:00,5.9988,382.3,97900.4,0.025,-381.952,12.207,10.841,-381.952,13.568,5.757
2017-10-07 01:05:00,5.9103,383.17,94474.0,0.0252,-382.828,9.759,13.031,-382.828,11.766,8.489
2017-10-07 01:06:00,6.2487,382.7,95065.4,0.0286,-382.394,6.686,13.853,-382.394,9.008,10.064
2017-10-07 01:07:00,6.3061,384.51,90197.0,0.0257,-384.055,4.944,18.072,-384.055,8.418,14.576
2017-10-07 01:08:00,6.3502,386.95,95188.8,0.024,-386.623,0.86,15.795,-386.623,3.882,13.425
2017-10-07 01:09:00,6.0137,388.55,90548.5,0.0261,-388.252,-0.818,15.25,-388.252,2.121,13.324
2017-10-07 01:10:00,6.0718,389.18,87925.9,0.0248,-388.838,-1.828,16.231,-388.838,1.4,14.522
2017-10-07 01:11:00,6.6948,392.39,88648.1,0.026,-391.915,-6.034,18.304,-391.915,-2.117,17.612
2017-10-07 01:12:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 01:13:00,5.4932,398.55,96876.1,0.0218,-398.364,-3.668,11.723,-398.364,-1.557,10.622
2017-10-07 01:14:00,5.2905,400.21,89559.6,0.0276,-399.578,-4.623,21.937,-399.578,0.203,20.718
2017-10-07 01:15:00,5.5578,404.91,85822.3,0.0241,-404.319,-11.615,18.606,-404.319,-7.416,19.335
2017-10-07 01:16:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 01:17:00,8.4557,403.52,97885.4,0.0215,-398.103,59.691,27.881,-398.103,63.812,9.43
2017-10-07 01:18:00,7.2043,408.36,87011.9,0.0228,-403.845,55.683,23.869,-403.845,58.884,6.58
2017-10-07 01:19:00,,,,,,,,,,
2017-10-07 01:20:00,7.9304,406.79,80314.1,0.0207,-402.091,53.068,31.327,-402.091,58.337,14.426
2017-10-07 01:21:00,8.7586,408.92,85439.5,0.0195,-403.964,56.409,29.112,-403.964,60.969,11.363
2017-10-07 01:22:00,8.6317,410.11,84681.6,-1e+31,-405.174,56.376,29.059,-405.174,60.923,11.281
2017-10-07 01:23:00,-1e+31,405.76,-1e+31,-1e+31,-403.673,34.285,22.683,-403.673,37.931,10.984
2017-10-07 01:24:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 01:25:00,-1e+31,399.44,118354.4,-1e+31,-396.161,33.041,38.947,-396.161,41.081,26.929
2017-10-07 01:26:00,7.8421,401.59,114641.9,0.0244,-396.809,44.166,43.216,-396.809,52.95,28.029
2017-10-07 01:27:00,-1e+31,400.79,133754.3,-1e+31,-397.294,34.467,40.064,-397.294,42.769,27.56
2017-10-07 01:28:00,8.1198,400.94,111197.7,0.0248,-396.472,38.376,45.73,-396.472,48.066,31.934
2017-10-07 01:29:00,7.7629,401.9,112471.8,0.0239,-397.567,36.33,46.272,-397.567,46.252,32.972
2017-10-07 01:30:00,-1e+31,400.52,118280.4,-1e+31,-396.865,32.892,42.788,-396.865,42.011,30.512
2017-10-07 01:31:00,-1e+31,393.19,131019.3,-1e+31,-390.348,31.013,35.552,-390.348,38.254,24.023
2017-10-07 01:32:00,10.0441,405.09,-1e+31,0.0198,-401.786,37.425,35.616,-401.786,44.45,22.316
2017-10-07 01:33:00,9.3405,439.72,86702.4,0.0172,-434.59,59.185,31.353,-434.59,64.24,12.27
2017-10-07 01:34:00,9.2375,437.75,80830.2,0.0196,-432.373,62.588,27.652,-432.373,66.507,7.74
2017-10-07 01:35:00,,,,,,,,,,
2017-10-07 01:36:00,8.4302,434.05,70615.6,0.019,-427.436,60.258,45.446,-427.436,69.114,25.449
2017-10-07 01:37:00,7.6708,419.26,71238.0,0.0241,-413.13,54.609,46.039,-413.13,63.85,27.516
2017-10-07 01:38:00,7.8887,423.89,77543.2,0.023,-417.97,57.79,40.588,-417.97,65.426,21.358
2017-10-07 01:39:00,7.6529,421.46,78910.0,0.0243,-415.869,55.833,39.582,-415.869,63.273,20.883
2017-10-07 01:40:00,8.3244,422.49,75172.0,0.0195,-416.537,57.994,40.429,-416.537,65.589,21.059
2017-10-07 01:41:00,8.8714,421.31,83667.5,0.0235,-415.146,55.737,45.286,-415.146,64.761,26.304
2017-10-07 01:42:00,8.8286,416.4,83996.5,0.023,-410.704,53.696,42.773,-410.704,62.115,24.407
2017-10-07 01:43:00,8.9986,417.61,79637.6,0.0201,-411.522,53.35,46.936,-411.522,62.94,28.459
2017-10-07 01:44:00,8.5249,413.45,86987.3,0.0216,-407.727,54.796,41.229,-407.727,62.759,22.531
2017-10-07 01:45:00,8.4831,414.24,97666.2,0.0193,-408.896,49.389,44.27,-408.896,58.414,26.908
2017-10-07 01:46:00,7.8685,407.19,85923.1,0.0238,-401.809,49.4,43.757,-401.809,58.291,26.369
2017-10-07 01:47:00,8.1837,407.3,84720.5,0.0241,-401.69,54.81,39.184,-401.69,62.223,20.429
2017-10-07 01:48:00,8.48,404.21,90792.7,0.0228,-398.94,53.722,36.686,-398.94,60.486,18.29
2017-10-07 01:49:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-07 01:50:00,8.7444,403.77,88917.3,0.0228,-398.369,61.082,24.486,-398.369,64.143,4.429
2017-10-07 01:51:00,,,,,,,,,,
2017-10-07 01:52:00,7.4215,397.34,101694.8,0.0272,-392.563,54.333,28.665,-392.563,58.835,10.288
2017-10-07 01:53:00,8.2094,396.91,101709.5,0.0247,-391.784,55.277,31.476,-391.784,60.531,12.677
2017-10-07 01:54:00,7.5151,397.55,105906.5,0.0246,-393.013,46.007,38.307,-393.013,53.563,21.8
2017-10-07 01:55:00,7.1267,397.04,114088.5,0.0284,-392.929,42.73,37.738,-392.929,50.265,22.139
2017-10-07 01:56:00,8.1398,405.9,91915.6,0.0251,-400.565,65.522,3.116,-400.565,62.338,-17.555
2017-10-07 01:57:00,7.943,404.23,84195.9,0.0269,-398.754,66.235,-3.594,-398.754,61.103,-24.237
2017-10-07 01:58:00,7.9155,395.43,104466.1,0.0226,-390.571,48.809,37.878,-390.571,56.155,20.431
2017-10-07 01:59:00,-1e+31,384.23,117406.9,-1e+31,-383.541,22.977,-1.585,-383.541,20.165,-10.089
2017-10-07 02:00:00,5.6137,382.17,106518.5,0.032,-381.775,16.375,5.74,-381.775,15.915,-1.207
2017-10-07 02:01:00,5.6143,385.31,106331.0,0.031,-385.193,9.148,2.105,-385.193,7.944,-2.643
2017-10-07 02:02:00,6.0789,391.9,102731.9,0.0293,-389.876,22.454,32.78,-389.876,29.469,22.924
2017-10-07 02:03:00,6.3373,391.76,112110.6,0.0277,-389.813,22.865,31.577,-389.813,29.525,21.628
2017-10-07 02:04:00,6.1312,392.15,108584.3,0.0292,-390.12,21.455,33.624,-390.12,28.771,23.967
2017-10-07 02:05:00,6.4072,394.06,104385.2,0.0279,-391.411,27.144,36.665,-391.411,35.103,25.215
2017-10-07 02:06:00,-1e+31,409.51,-1e+31,-1e+31,-406.139,25.028,46.032,-406.139,35.791,34.764
2017-10-07 02:07:00,,,,,,,,,,
2017-10-07 02:08:00,6.9719,419.72,83330.8,0.0268,-415.862,25.76,50.593,-415.862,37.827,38.888
2017-10-07 02:09:00,6.2458,413.89,69255.3,0.0289,-410.139,27.122,48.493,-410.139,38.54,36.452
2017-10-07 02:10:00,6.3682,414.54,84984.1,0.0282,-411.624,19.026,45.276,-411.624,29.876,35.694
2017-10-07 02:11:00,6.3064,387.96,107893.1,0.0281,-385.689,31.222,27.929,-385.689,36.512,15.521
2017-10-07 02:12:00,-1e+31,397.05,-1e+31,-1e+31,-393.528,30.915,42.769,-393.528,40.55,29.775
2017-10-07 02:13:00,5.8256,385.78,-1e+31,0.0303,-383.896,29.721,23.818,-383.896,33.883,11.966
2017-10-07 02:14:00,5.3528,390.15,86324.3,0.0313,-389.288,2.293,25.745,-389.288,8.223,21.812
