,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-04 00:00:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-04 00:01:00,6.4175,384.3,34993.6,0.0248,-383.967,-11.14,-11.362,-383.967,-14.183,-9.238
2017-10-04 00:02:00,6.41,384.22,36990.1,0.0263,-383.879,-10.946,-11.871,-383.879,-14.129,-9.787
2017-10-04 00:03:00,6.6329,383.23,36408.0,0.0246,-382.875,-11.133,-12.131,-382.875,-14.385,-10.003
2017-10-04 00:04:00,6.3924,383.59,34179.2,0.0251,-383.301,-11.094,-9.918,-383.301,-13.82,-7.874
2017-10-04 00:05:00,6.0147,382.7,34373.8,0.026,-382.271,-12.656,-12.914,-382.271,-16.074,-10.408
2017-10-04 00:06:00,6.7526,384.42,35411.1,0.0253,-384.145,-9.743,-10.859,-384.145,-12.759,-9.132
2017-10-04 00:07:00,6.6894,384.35,35928.6,0.0229,-384.045,-9.993,-11.709,-384.045,-13.219,-9.904
2017-10-04 00:08:00,6.6397,383.97,34569.2,0.0253,-383.749,-8.77,-9.824,-383.749,-11.585,-8.383
2017-10-04 00:09:00,6.4456,384.49,35010.7,0.0255,-384.154,-10.953,-11.869,-384.154,-14.212,-9.841
2017-10-04 00:10:00,6.7109,384.26,35010.1,0.0242,-383.881,-11.545,-12.661,-383.881,-14.99,-10.473
2017-10-04 00:11:00,6.4784,383.59,33921.6,0.0249,-383.186,-13.34,-11.617,-383.186,-16.486,-9.028
2017-10-04 00:12:00,7.1997,383.72,33511.8,0.0253,-383.287,-12.809,-13.027,-383.287,-16.328,-10.533
2017-10-04 00:13:00,6.9204,384.23,34781.4,0.0236,-383.846,-12.343,-11.869,-383.846,-15.603,-9.531
2017-10-04 00:14:00,6.8004,383.11,33615.9,0.0257,-382.691,-13.446,-11.818,-382.691,-16.671,-9.218
2017-10-04 00:15:00,,,,,,,,,,
2017-10-04 00:16:00,6.9376,383.89,33721.6,0.0239,-383.483,-13.418,-11.611,-383.483,-16.604,-9.031
2017-10-04 00:17:00,7.0082,384.1,35373.5,0.0241,-383.652,-14.153,-11.918,-383.652,-17.402,-9.154
2017-10-04 00:18:00,6.6428,383.41,34182.8,0.0242,-383.014,-13.637,-10.666,-383.014,-16.605,-8.075
2017-10-04 00:19:00,7.1795,384.69,34985.7,0.0243,-384.241,-14.206,-12.052,-384.241,-17.509,-9.284
2017-10-04 00:20:00,7.1021,384.67,33008.6,0.0242,-384.228,-15.185,-10.284,-384.228,-18.032,-7.336
2017-10-04 00:21:00,6.97,383.97,32696.1,0.0252,-383.5,-15.86,-10.525,-383.5,-18.756,-7.408
2017-10-04 00:22:00,6.929,384.25,34974.5,0.0239,-383.717,-15.758,-12.743,-383.717,-19.217,-9.587
2017-10-04 00:23:00,6.9865,381.86,34688.5,0.0245,-381.432,-14.475,-10.907,-381.432,-17.53,-8.132
2017-10-04 00:24:00,6.8342,381.53,35182.7,0.0257,-381.081,-15.293,-10.558,-381.081,-18.246,-7.597
2017-10-04 00:25:00,6.9778,382.31,34133.6,0.0256,-381.819,-15.215,-12.128,-381.819,-18.572,-9.143
2017-10-04 00:26:00,6.9826,381.92,35865.1,0.0228,-381.429,-15.757,-11.191,-381.429,-18.875,-8.106
2017-10-04 00:27:00,6.8992,381.67,35591.7,0.0243,-381.197,-15.789,-10.469,-381.197,-18.736,-7.404
2017-10-04 00:28:00,7.0066,381.51,37579.2,0.0237,-381.067,-14.72,-10.966,-381.067,-17.836,-8.157
2017-10-04 00:29:00,6.8222,382.33,34821.1,0.0263,-381.891,-14.723,-10.743,-381.891,-17.794,-7.946
2017-10-04 00:30:00,6.7078,381.63,35466.8,0.025,-381.244,-14.044,-10.047,-381.244,-16.973,-7.448
2017-10-04 00:31:00,,,,,,,,,,
2017-10-04 00:32:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-04 00:33:00,6.8349,379.04,35171.1,0.0246,-378.64,-11.904,-12.58,-378.64,-15.559,-10.448
2017-10-04 00:34:00,6.6732,378.82,36964.1,0.0251,-378.53,-11.367,-9.45,-378.53,-14.263,-7.559
2017-10-04 00:35:00,6.9174,379.05,35798.2,0.0266,-378.668,-11.874,-12.167,-378.668,-15.449,-10.068
2017-10-04 00:36:00,6.8578,380.69,33863.4,0.0266,-380.369,-12.13,-9.853,-380.369,-15.125,-7.77
2017-10-04 00:37:00,6.8755,380.06,36183.9,0.0269,-379.702,-11.604,-11.59,-379.702,-15.066,-9.588
2017-10-04 00:38:00,6.8526,381.3,34888.2,0.0286,-380.919,-10.751,-13.268,-380.919,-14.677,-11.433
2017-10-04 00:39:00,7.1621,379.71,36917.0,0.0263,-379.438,-10.534,-9.728,-379.438,-13.582,-8.07
2017-10-04 00:40:00,6.7231,379.98,34637.8,0.0246,-379.7,-10.598,-9.893,-379.7,-13.697,-8.22
2017-10-04 00:41:00,6.9309,378.21,39155.3,0.0241,-377.749,-12.099,-14.1,-377.749,-16.228,-11.913
2017-10-04 00:42:00,6.8691,378.05,39121.2,0.0229,-377.655,-11.917,-12.524,-377.655,-15.664,-10.44
2017-10-04 00:43:00,6.8926,378.34,36668.9,0.0205,-378.03,-10.996,-10.804,-378.03,-14.347,-9.017
2017-10-04 00:44:00,6.8194,378.08,37182.2,0.0219,-377.696,-11.728,-12.423,-377.696,-15.479,-10.401
2017-10-04 00:45:00,6.849,377.63,37873.6,0.022,-377.244,-12.296,-11.849,-377.244,-15.893,-9.706
2017-10-04 00:46:00,6.8652,376.99,39497.3,0.0231,-376.606,-12.565,-11.588,-376.606,-16.099,-9.39
2017-10-04 00:47:00,,,,,,,,,,
2017-10-04 00:48:00,6.8226,377.59,39165.9,0.023,-377.174,-12.237,-12.943,-377.174,-16.14,-10.788
2017-10-04 00:49:00,6.756,377.06,38310.3,0.024,-376.648,-12.45,-12.518,-376.648,-16.249,-10.328
2017-10-04 00:50:00,6.8895,376.73,37163.0,0.0229,-376.335,-11.963,-12.389,-376.335,-15.757,-10.332
2017-10-04 00:51:00,6.7423,376.66,37800.0,0.0258,-376.286,-9.886,-13.628,-376.286,-14.082,-12.069
2017-10-04 00:52:00,6.7648,376.06,37593.1,0.0254,-375.618,-12.61,-13.269,-375.618,-16.633,-11.025
2017-10-04 00:53:00,6.9889,376.61,37936.4,0.0234,-376.188,-11.715,-13.325,-376.188,-15.796,-11.314
2017-10-04 00:54:00,7.0431,376.23,36529.1,0.024,-375.761,-11.837,-14.564,-375.761,-16.246,-12.484
2017-10-04 00:55:00,6.9114,376.04,37215.2,0.0261,-375.596,-12.109,-13.774,-375.596,-16.318,-11.654
2017-10-04 00:56:00,6.8388,378.68,38339.9,0.0225,-378.252,-14.23,-10.971,-378.252,-17.652,-8.401
2017-10-04 00:57:00,6.6048,377.91,37332.3,0.0249,-377.488,-13.23,-12.075,-377.488,-16.984,-9.73
2017-10-04 00:58:00,6.9167,377.15,37315.2,0.0234,-376.815,-11.223,-11.098,-376.815,-14.803,-9.313
2017-10-04 00:59:00,6.7557,377.17,38924.1,0.0225,-376.698,-14.619,-12.075,-376.698,-18.349,-9.375
2017-10-04 01:00:00,6.4594,379.67,36865.7,0.0249,-379.219,-15.225,-10.453,-379.219,-18.522,-7.654
2017-10-04 01:01:00,6.4864,376.98,41206.7,0.027,-376.638,-10.461,-12.086,-376.638,-14.361,-10.479
2017-10-04 01:02:00,6.4979,380.45,37462.8,0.022,-380.01,-15.029,-10.355,-380.01,-18.329,-7.616
2017-10-04 01:03:00,,,,,,,,,,
2017-10-04 01:04:00,6.5908,374.92,42612.3,0.0224,-374.428,-13.198,-13.988,-374.428,-17.526,-11.604
2017-10-04 01:05:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-04 01:06:00,6.4336,376.56,37755.3,0.0223,-376.208,-12.037,-10.972,-376.208,-15.637,-9.006
2017-10-04 01:07:00,6.3698,377.12,37467.6,0.0241,-376.743,-11.564,-12.381,-376.743,-15.565,-10.493
2017-10-04 01:08:00,6.2861,376.25,38063.0,0.0228,-375.885,-11.935,-11.563,-375.885,-15.719,-9.609
2017-10-04 01:09:00,6.5533,374.26,38195.2,0.0252,-373.922,-10.923,-11.67,-373.922,-14.783,-9.984
2017-10-04 01:10:00,6.4055,374.12,42803.4,0.0247,-373.775,-8.814,-13.541,-373.775,-13.257,-12.35
2017-10-04 01:11:00,6.8914,374.5,47306.2,0.0253,-374.204,-8.409,-12.134,-374.204,-12.506,-11.105
2017-10-04 01:12:00,6.939,376.0,41870.3,0.0245,-375.613,-11.692,-12.335,-375.613,-15.738,-10.43
2017-10-04 01:13:00,6.9451,375.54,42097.5,0.0249,-375.141,-11.983,-12.499,-375.141,-16.075,-10.514
2017-10-04 01:14:00,7.1173,375.53,41351.7,0.0246,-375.187,-11.353,-11.226,-375.187,-15.139,-9.458
2017-10-04 01:15:00,7.0356,375.12,40999.2,0.0252,-374.714,-13.24,-11.291,-374.714,-16.987,-9.019
