,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-09 00:00:00,3.2689,-1e+31,45048.2,0.0401,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-09 00:01:00,3.7493,381.19,49710.9,0.0341,-379.263,10.868,-36.743,-379.263,1.422,-39.164
2017-10-09 00:02:00,3.6984,381.65,49202.3,0.0338,-379.717,13.634,-35.905,-379.717,4.29,-39.012
2017-10-09 00:03:00,3.5391,383.71,42989.6,0.0357,-381.892,17.793,-32.834,-381.892,9.037,-37.017
2017-10-09 00:04:00,3.7688,379.9,53878.8,0.0382,-378.665,11.302,-28.481,-378.665,3.736,-31.274
2017-10-09 00:05:00,3.4577,382.9,49547.6,0.0359,-381.276,9.492,-33.919,-381.276,0.68,-36.145
2017-10-09 00:06:00,3.6262,382.52,52176.4,0.0337,-381.11,9.959,-31.256,-381.11,1.745,-33.679
2017-10-09 00:07:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-09 00:08:00,4.0245,379.15,49651.8,0.0298,-378.079,5.661,-27.874,-378.079,-1.665,-29.402
2017-10-09 00:09:00,3.6468,378.2,51991.6,0.0328,-377.068,7.766,-28.134,-377.068,0.304,-30.164
2017-10-09 00:10:00,3.6695,376.1,47792.0,0.036,-374.933,6.489,-28.889,-374.933,-1.131,-30.607
2017-10-09 00:11:00,3.8159,375.85,49357.1,0.0295,-374.631,6.995,-29.439,-374.631,-0.786,-31.272
2017-10-09 00:12:00,3.7253,377.57,45745.1,0.0333,-376.316,6.318,-30.11,-376.316,-1.619,-31.775
2017-10-09 00:13:00,3.4793,378.23,46429.6,0.038,-376.985,7.423,-29.709,-376.985,-0.467,-31.66
2017-10-09 00:14:00,3.7515,378.93,43001.1,0.0364,-377.655,5.533,-30.557,-377.655,-2.521,-32.045
2017-10-09 00:15:00,,,,,,,,,,
2017-10-09 00:16:00,3.3222,381.44,42221.3,0.0354,-380.447,6.35,-26.82,-380.447,-0.854,-28.622
