,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-15 00:00:00,3.1594,-1e+31,134549.6,0.0392,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-15 00:01:00,3.3768,632.92,140846.4,0.032,-632.524,19.046,11.553,-632.524,20.744,6.19
2017-10-15 00:02:00,3.1746,626.86,128387.7,0.0378,-626.704,6.744,12.281,-626.704,8.906,9.611
2017-10-15 00:03:00,3.2134,634.52,131238.1,0.0356,-634.354,-5.236,13.343,-634.354,-2.543,13.291
2017-10-15 00:04:00,2.9742,634.8,112994.3,0.0441,-634.542,-4.205,17.479,-634.542,-0.619,17.084
2017-10-15 00:05:00,3.056,632.15,126595.9,0.0357,-631.981,-6.299,13.08,-631.981,-3.64,13.25
2017-10-15 00:06:00,3.2983,626.93,139257.2,0.0383,-626.809,-4.879,11.438,-626.809,-2.624,11.322
2017-10-15 00:07:00,3.1226,636.55,141200.8,0.0346,-636.295,-11.766,13.554,-636.295,-8.867,14.91
2017-10-15 00:08:00,3.1944,630.38,146204.2,0.0416,-630.136,-7.951,15.661,-630.136,-4.678,16.104
2017-10-15 00:09:00,3.3796,632.33,149651.6,0.0327,-632.171,-12.04,7.631,-632.171,-10.461,9.181
2017-10-15 00:10:00,3.0587,639.5,124966.4,0.0401,-639.21,-13.923,13.494,-639.21,-10.985,15.308
2017-10-15 00:11:00,2.9566,640.92,121919.2,0.0386,-640.678,-15.209,9.0,-640.678,-13.247,11.208
2017-10-15 00:12:00,3.0164,635.03,139722.7,0.042,-634.793,-16.527,5.562,-634.793,-15.305,8.147
2017-10-15 00:13:00,2.8719,637.4,116447.2,0.038,-637.242,-11.849,8.068,-637.242,-10.185,9.53
2017-10-15 00:14:00,2.6678,636.93,106235.7,0.0473,-636.698,-12.663,11.507,-636.698,-10.207,13.057
2017-10-15 00:15:00,,,,,,,,,,
2017-10-15 00:16:00,-1e+31,640.54,112210.0,-1e+31,-640.321,-15.328,-7.178,-640.321,-17.015,-4.556
2017-10-15 00:17:00,2.6388,636.4,123687.1,0.0459,-635.732,-14.919,-24.925,-635.732,-20.627,-21.943
2017-10-15 00:18:00,2.5637,642.78,124596.9,0.0384,-642.196,-15.052,-22.867,-642.196,-20.304,-19.913
2017-10-15 00:19:00,2.6368,632.9,124386.0,0.0462,-632.598,-19.285,3.509,-632.598,-18.471,6.732
2017-10-15 00:20:00,2.4732,643.7,106862.4,0.041,-643.361,-16.757,-12.604,-643.361,-19.662,-9.54
2017-10-15 00:21:00,2.8761,646.02,147393.3,0.039,-645.676,-20.796,-2.543,-645.676,-21.321,1.17
2017-10-15 00:22:00,2.4276,649.86,114680.5,0.0395,-649.52,-20.626,-3.58,-649.52,-21.396,0.117
2017-10-15 00:23:00,-1e+31,637.09,103655.2,-1e+31,-636.825,-18.028,-2.548,-636.825,-18.637,0.528
2017-10-15 00:24:00,2.9668,654.12,120554.6,0.0345,-653.951,-7.823,12.439,-653.951,-5.291,12.789
