,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-03 00:00:00,6.0936,-1e+31,34546.1,0.0128,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-03 00:01:00,5.7889,382.32,35473.5,0.0154,-381.961,-14.358,8.331,-381.961,-12.538,10.664
2017-10-03 00:02:00,6.1783,385.44,33285.0,0.0145,-385.071,-13.136,10.584,-385.071,-10.81,12.542
2017-10-03 00:03:00,5.8749,385.92,36603.6,0.0143,-385.567,-13.04,10.027,-385.567,-10.858,11.969
2017-10-03 00:04:00,6.3427,386.96,32459.5,0.0141,-386.548,-13.528,11.726,-386.548,-10.922,13.727
2017-10-03 00:05:00,5.5031,385.86,35924.5,0.0142,-385.438,-13.52,11.907,-385.438,-10.875,13.891
2017-10-03 00:06:00,6.0043,384.03,35761.0,0.0154,-383.65,-12.856,11.239,-383.65,-10.398,13.072
2017-10-03 00:07:00,6.0122,381.39,46127.6,0.0171,-381.097,-11.556,9.611,-381.097,-9.541,11.166
2017-10-03 00:08:00,6.2495,383.41,35806.4,0.0156,-382.975,-13.702,12.007,-382.975,-11.04,14.005
2017-10-03 00:09:00,6.7405,388.59,32866.1,0.0156,-387.942,-17.436,14.167,-387.942,-14.134,17.007
2017-10-03 00:10:00,6.0043,392.23,26708.4,0.0163,-391.665,-15.828,13.765,-391.665,-12.678,16.215
2017-10-03 00:11:00,6.0568,389.98,26789.1,0.0131,-389.568,-15.537,9.106,-389.568,-13.546,11.618
2017-10-03 00:12:00,6.2722,389.22,32293.6,0.0159,-388.897,-14.002,7.273,-388.897,-12.515,9.456
2017-10-03 00:13:00,5.9331,390.32,31606.3,0.0177,-389.846,-13.107,14.042,-389.846,-9.984,15.787
2017-10-03 00:14:00,6.185,384.27,38905.1,0.0134,-383.933,-12.82,9.728,-383.933,-10.774,11.526
2017-10-03 00:15:00,,,,,,,,,,
2017-10-03 00:16:00,6.899,381.36,44390.5,0.012,-381.049,-13.515,7.37,-381.049,-12.036,9.405
2017-10-03 00:17:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-03 00:18:00,6.7924,385.63,35363.2,0.0144,-385.207,-14.477,10.755,-385.207,-12.139,12.907
2017-10-03 00:19:00,6.8258,386.1,35812.4,0.0156,-385.815,-13.416,6.015,-385.815,-12.292,8.044
2017-10-03 00:20:00,6.1882,386.04,29964.5,0.0149,-385.592,-16.619,8.1,-385.592,-14.882,10.851
2017-10-03 00:21:00,6.1208,377.36,44214.1,0.0134,-377.165,-12.235,0.409,-377.165,-12.554,2.304
2017-10-03 00:22:00,7.3647,387.61,29652.1,0.0111,-387.27,-15.763,3.72,-387.27,-15.154,6.382
2017-10-03 00:23:00,5.8139,391.21,27638.1,0.0161,-390.682,-17.265,10.743,-390.682,-14.864,13.551
2017-10-03 00:24:00,6.0923,384.68,31120.9,0.0146,-384.363,-15.398,2.992,-384.363,-14.994,5.572
2017-10-03 00:25:00,-1e+31,393.46,26586.9,-1e+31,-393.077,-11.284,13.082,-393.077,-8.495,14.307
2017-10-03 00:26:00,-1e+31,396.23,29894.7,-1e+31,-395.905,-4.406,15.385,-395.905,-1.264,14.806
2017-10-03 00:27:00,-1e+31,394.43,28237.2,-1e+31,-394.069,-6.775,15.563,-394.069,-3.515,15.561
2017-10-03 00:28:00,-1e+31,394.41,31266.1,-1e+31,-394.128,-8.114,12.517,-394.128,-5.579,12.939
2017-10-03 00:29:00,-1e+31,393.59,26395.8,-1e+31,-393.181,-9.577,15.216,-393.181,-6.321,15.909
