,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-13 00:00:00,4.8311,-1e+31,127827.5,0.0298,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-13 00:01:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-13 00:02:00,4.8526,483.06,126481.2,0.0304,-482.289,11.861,-24.635,-482.289,5.53,-27.566
2017-10-13 00:03:00,4.913,484.26,127583.5,0.0252,-483.347,9.958,-27.988,-483.347,2.904,-30.413
2017-10-13 00:04:00,4.7483,484.54,121414.6,0.0296,-483.651,-0.021,-29.298,-483.651,-7.126,-29.436
2017-10-13 00:05:00,4.9242,484.32,119534.4,0.0287,-483.439,8.691,-27.938,-483.439,1.653,-30.102
2017-10-13 00:06:00,4.8261,484.59,114270.7,0.0267,-483.497,15.718,-28.554,-483.497,8.341,-32.312
2017-10-13 00:07:00,4.9623,483.54,121758.7,0.0248,-482.786,10.86,-24.737,-482.786,4.466,-27.502
2017-10-13 00:08:00,4.621,484.06,125286.2,0.0276,-483.078,14.113,-27.466,-483.078,6.997,-30.914
2017-10-13 00:09:00,4.6674,482.9,127046.1,0.029,-481.663,20.633,-27.714,-481.663,13.274,-32.659
2017-10-13 00:10:00,4.4872,480.7,136467.9,0.0299,-479.432,22.16,-26.914,-479.432,14.928,-32.244
2017-10-13 00:11:00,4.4636,479.96,122855.8,0.0321,-478.862,13.517,-29.483,-478.862,5.912,-32.782
2017-10-13 00:12:00,4.3715,477.9,121048.3,0.0328,-476.76,5.3,-32.597,-476.76,-2.816,-33.943
2017-10-13 00:13:00,4.7185,477.01,137731.1,0.03,-476.088,11.725,-27.197,-476.088,4.661,-30.173
2017-10-13 00:14:00,4.4314,477.4,139858.5,0.0321,-476.808,2.511,-23.546,-476.808,-3.483,-24.514
2017-10-13 00:15:00,,,,,,,,,,
2017-10-13 00:16:00,4.5712,476.72,134755.5,0.0329,-475.913,4.072,-27.486,-475.913,-2.884,-28.718
2017-10-13 00:17:00,4.3465,482.42,151282.8,0.0346,-481.715,9.745,-24.161,-481.715,3.388,-26.8
2017-10-13 00:18:00,4.6822,484.19,116441.8,0.0297,-482.982,-2.048,-34.173,-482.982,-10.411,-33.834
2017-10-13 00:19:00,4.3604,485.05,115270.4,0.0333,-484.032,-10.289,-29.746,-484.032,-17.423,-27.631
2017-10-13 00:20:00,4.5012,486.22,124644.5,0.0335,-484.94,-2.796,-35.117,-484.94,-11.389,-34.595
2017-10-13 00:21:00,-1e+31,485.99,135220.5,-1e+31,-485.399,5.518,-23.381,-485.399,-0.6,-25.112
2017-10-13 00:22:00,5.0015,482.81,135975.9,0.0323,-481.761,-12.255,-29.325,-481.761,-19.281,-26.782
2017-10-13 00:23:00,4.7634,481.4,137128.9,0.0355,-480.711,-7.792,-24.611,-480.711,-13.859,-23.239
2017-10-13 00:24:00,4.953,480.54,142872.0,0.0345,-479.975,5.306,-22.763,-479.975,-0.705,-24.495
2017-10-13 00:25:00,4.8915,479.61,145713.1,0.0332,-479.105,-1.049,-21.874,-479.105,-6.691,-22.161
2017-10-13 00:26:00,4.7602,478.57,149709.5,0.0324,-478.227,-2.696,-17.882,-478.227,-7.375,-17.904
2017-10-13 00:27:00,4.8569,480.78,149070.4,0.0334,-480.223,7.018,-21.986,-480.223,1.1,-24.173
2017-10-13 00:28:00,4.8694,481.04,143981.6,0.035,-480.231,2.265,-27.857,-480.231,-4.909,-28.78
2017-10-13 00:29:00,4.6344,481.17,151153.4,0.035,-480.595,5.986,-22.726,-480.595,-0.105,-24.674
2017-10-13 00:30:00,4.7764,478.36,137691.9,0.0359,-477.504,2.866,-28.508,-477.504,-4.51,-29.572
2017-10-13 00:31:00,,,,,,,,,,
