,Np,Vp,Tpr,alpha_ratio,VGSE_x,VGSE_y,VGSE_z,VGSM_x,VGSM_y,VGSM_z
2017-10-08 00:00:00,7.922,-1e+31,97872.8,0.0419,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-08 00:01:00,7.9874,441.85,85225.4,0.0505,-441.682,11.717,-2.765,-441.682,10.185,-6.357
2017-10-08 00:02:00,8.4089,440.12,92848.8,0.046,-439.965,11.404,-2.511,-439.965,9.931,-6.051
2017-10-08 00:03:00,8.1002,439.87,95537.9,0.0496,-439.733,9.644,-5.054,-439.733,7.611,-8.119
2017-10-08 00:04:00,8.3025,437.64,98402.4,0.0394,-437.505,10.477,-3.397,-437.505,8.802,-6.722
2017-10-08 00:05:00,8.0396,437.66,90878.0,0.0437,-437.574,8.649,1.325,-437.574,8.139,-1.715
2017-10-08 00:06:00,8.5236,441.93,102824.8,0.0368,-441.792,9.326,5.512,-441.792,9.783,2.177
2017-10-08 00:07:00,7.5309,440.24,85966.7,0.0443,-440.087,10.516,-4.895,-440.087,8.457,-8.229
2017-10-08 00:08:00,8.3851,439.54,95772.6,0.0444,-439.436,9.566,0.131,-439.436,8.722,-3.135
2017-10-08 00:09:00,7.9589,439.76,88684.7,0.0488,-439.635,10.164,-1.583,-439.635,8.886,-4.957
2017-10-08 00:10:00,8.1208,441.3,93662.9,0.0429,-441.154,9.821,-5.589,-441.154,7.587,-8.78
2017-10-08 00:11:00,7.698,437.27,93436.0,0.0463,-437.166,7.973,-5.338,-437.166,5.844,-8.108
2017-10-08 00:12:00,7.6702,433.24,92239.4,0.0435,-433.09,10.852,3.421,-433.09,10.725,-0.306
2017-10-08 00:13:00,7.4521,439.91,88210.8,0.0418,-439.79,10.232,-0.276,-439.79,9.23,-3.762
2017-10-08 00:14:00,8.5186,441.73,94717.5,0.0413,-441.617,9.987,0.335,-441.617,9.131,-3.125
2017-10-08 00:15:00,,,,,,,,,,
2017-10-08 00:16:00,7.6494,441.06,89191.8,0.0401,-440.994,7.087,3.363,-440.994,7.034,0.496
2017-10-08 00:17:00,8.419,438.83,90785.5,0.0426,-438.695,10.14,-3.49,-438.695,8.343,-6.903
2017-10-08 00:18:00,7.923,441.36,92164.4,0.0447,-441.25,8.76,-4.446,-441.25,6.764,-7.514
2017-10-08 00:19:00,8.2516,443.46,93988.9,0.0433,-443.324,8.71,-6.524,-443.324,6.205,-9.532
2017-10-08 00:20:00,8.2092,442.67,95481.2,0.0461,-442.549,8.279,-6.157,-442.549,5.866,-9.085
2017-10-08 00:21:00,8.1402,442.1,97166.2,0.0473,-442.013,7.185,-5.169,-442.013,5.032,-7.876
2017-10-08 00:22:00,8.0438,439.01,87944.6,0.0422,-438.776,13.346,-5.377,-438.776,10.951,-9.582
2017-10-08 00:23:00,7.9955,440.27,89833.5,0.0451,-439.995,13.183,-8.038,-439.995,10.137,-12.138
2017-10-08 00:24:00,7.6209,441.39,86034.7,0.0429,-441.039,15.409,-8.482,-441.039,12.179,-13.125
2017-10-08 00:25:00,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31,-1e+31
2017-10-08 00:26:00,8.0283,432.99,93117.0,0.0354,-432.849,11.084,-0.53,-432.849,9.894,-4.39
2017-10-08 00:27:00,7.599,435.68,79610.5,0.0388,-435.234,18.367,-7.353,-435.234,15.287,-12.797
2017-10-08 00:28:00,8.4104,437.08,86726.3,0.0323,-436.791,14.631,-5.902,-436.791,12.006,-10.496
2017-10-08 00:29:00,8.523,434.9,97390.9,0.0404,-434.595,15.854,-3.129,-434.595,13.859,-8.121
2017-10-08 00:30:00,8.5158,431.06,95977.8,0.037,-430.767,13.617,-8.069,-430.767,10.472,-12.38
2017-10-08 00:31:00,,,,,,,,,,
2017-10-08 00:32:00,7.0793,432.73,91852.7,0.0447,-432.32,6.284,-17.647,-432.32,1.005,-19.885
2017-10-08 00:33:00,7.2705,439.36,88520.8,0.0441,-439.137,13.382,4.146,-439.137,13.217,-0.511
2017-10-08 00:34:00,6.9234,426.94,104340.1,0.0501,-426.381,9.841,-19.524,-426.381,3.964,-22.602
2017-10-08 00:35:00,7.2995,428.42,104220.1,0.0519,-427.348,6.437,-29.631,-427.348,-1.837,-31.575
2017-10-08 00:36:00,7.1935,429.0,105655.6,0.0484,-428.209,4.31,-25.628,-428.209,-2.932,-27.181
2017-10-08 00:37:00,7.8614,429.91,102126.6,0.0477,-429.507,4.952,-17.954,-429.507,-0.433,-19.913
2017-10-08 00:38:00,6.9677,428.72,98323.9,0.0468,-428.454,7.258,-13.356,-428.454,2.923,-16.038
2017-10-08 00:39:00,6.8439,427.1,98536.9,0.0564,-426.764,5.28,-16.139,-426.764,0.305,-18.258
2017-10-08 00:40:00,7.0748,433.86,92832.9,0.0473,-433.665,9.427,-8.915,-433.665,6.098,-12.297
2017-10-08 00:41:00,7.1589,431.72,91269.0,0.0536,-431.622,5.089,-7.707,-431.622,2.185,-10.065
2017-10-08 00:42:00,7.9148,436.18,91471.7,0.0464,-436.003,12.548,-0.452,-436.003,11.201,-4.903
2017-10-08 00:43:00,7.8577,434.49,94487.5,0.0479,-434.286,12.912,-3.136,-434.286,10.877,-7.609
2017-10-08 00:44:00,8.1806,434.54,95248.4,0.0419,-434.272,15.127,-1.002,-434.272,13.545,-6.11
2017-10-08 00:45:00,7.777,433.69,95124.7,0.0459,-433.546,11.194,-1.778,-433.546,9.533,-5.896
2017-10-08 00:46:00,7.6244,434.72,92877.0,0.0473,-434.625,8.316,-3.039,-434.625,6.421,-6.412
2017-10-08 00:47:00,,,,,,,,,,
2017-10-08 00:48:00,7.3056,436.01,86971.5,0.0521,-435.88,9.647,-4.15,-435.88,7.422,-7.834
2017-10-08 00:49:00,8.0317,435.72,96826.6,0.0463,-435.482,13.64,-4.598,-435.482,11.166,-9.283
2017-10-08 00:50:00,7.5331,436.75,94075.3,0.0512,-436.424,15.788,-6.263,-436.424,12.815,-11.451
2017-10-08 00:51:00,7.6396,430.78,97881.3,0.0476,-430.645,10.433,-2.218,-430.645,8.639,-6.204
2017-10-08 00:52:00,7.8975,429.4,105223.4,0.0514,-429.21,12.185,-3.645,-429.21,9.966,-8.041
2017-10-08 00:53:00,7.8097,426.83,115353.4,0.0439,-426.583,13.34,-5.426,-426.583,10.623,-10.071
2017-10-08 00:54:00,7.5067,426.76,103384.6,0.048,-426.586,7.027,-9.825,-426.586,3.392,-12.746
2017-10-08 00:55:00,7.5373,427.15,106964.6,0.0443,-426.765,9.12,-15.618,-426.765,3.937,-18.893
2017-10-08 00:56:00,7.3521,429.19,105025.6,0.0495,-428.782,10.064,-15.745,-428.782,4.804,-19.268
2017-10-08 00:57:00,7.5677,428.5,108824.4,0.0504,-428.258,10.074,-10.438,-428.258,6.146,-14.15
